pair_id,section,section_word,sentence1,sentence2,target_word,target_key,label_raw,label,sense_id_1,sense_id_2,label_corrected,pair_source
pair_0011,word,ಬಾಗ (bāga),ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,ಬಾಗ,ಬಾಗ,1,1,1,1.0,1,
pair_0012,word,ಬಾಗ (bāga),ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,ಬಾಗ,ಬಾಗ,1,1,2,2.0,1,
pair_0013,word,ಬಾಗ (bāga),ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,ಬಾಗ,ಬಾಗ,1,1,3,3.0,1,
pair_0014,word,ಚಿತ್ರ (chitra),ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,ಚಿತ್ರ,ಚಿತ್ರ,1,1,1,1.0,1,
pair_0015,word,ಚಿತ್ರ (chitra),ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ.,ಚಿತ್ರ,ಚಿತ್ರ,1,1,2,2.0,1,
pair_0016,word,ಚಿತ್ರ (chitra),ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ.,ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ.,ಚಿತ್ರ,ಚಿತ್ರ,1,1,3,3.0,1,
pair_0017,word,ಚಿತ್ರ (chitra),ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ.,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ.,ಚಿತ್ರ,ಚಿತ್ರ,1,1,4,4.0,1,
pair_0018,word,ಕಾಲ (kāla),ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.,ಕಾಲ,ಕಾಲ,1,1,1,1.0,1,
pair_0019,word,ಕಾಲ (kāla),ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,ಕಾಲ,ಕಾಲ,1,1,2,2.0,1,
pair_0020,word,ಕಾಲ (kāla),ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.,ಕಾಲ,ಕಾಲ,1,1,5,5.0,1,
pair_0021,word,ಧರಣಿ (dharaṇi),ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ.,ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಧರಣಿ,ಧರಣಿ,1,1,1,1.0,1,
pair_0022,word,ಧರಣಿ (dharaṇi),ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು.,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ.,ಧರಣಿ,ಧರಣಿ,1,1,2,2.0,1,
pair_0023,word,ಚಕ್ರ (chakra),ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ.,ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ.,ಚಕ್ರ,ಚಕ್ರ,1,1,1,1.0,1,
pair_0024,word,ಚಕ್ರ (chakra),ಜೀವನದ ಚಕ್ರ ಮುಂದುವರಿದುಕೊಂಡಿದೆ.,ಋತುಗಳ ಚಕ್ರ ಪುನರಾವೃತ್ತಿಯಾಗುತ್ತಿದೆ.,ಚಕ್ರ,ಚಕ್ರ,1,1,2,2.0,1,
pair_0025,word,ಚಕ್ರ (chakra),ಯೋಗದಲ್ಲಿ ಆಚ್ಠ ಚಕ್ರಗಳು ಮುಖ್ಯ.,ಹೃದಯ ಚಕ್ರ ಸಕ್ರಿಯಗೊಳಿಸುತ್ತಾರೆ.,ಚಕ್ರ,ಚಕ್ರ,1,1,3,3.0,1,
pair_0026,word,ಚಕ್ರ (chakra),ಕೃಷ್ಣನ ಚಕ್ರ ವೈಷ್ಣವ ಅಸ್ತ್ರ.,ಸುದರ್ಶನ ಚಕ್ರ ಸಕಲವನ್ನು ನಾಶಮಾಡುತ್ತಿದೆ.,ಚಕ್ರ,ಚಕ್ರ,1,1,4,4.0,1,
pair_0027,word,ಕರಣ (karaṇa),ಈ ಘಟನೆಯ ಕರಣ ಎಂದರೆ ನಿರ್ಲಕ್ಷ್ಯತೆ.,ಅನಸ್ಥೆಯ ಕರಣ ಕಾರ್ಯಭಾರ ಹೆಚ್ಚು.,ಕರಣ,ಕರಣ,1,1,1,1.0,1,
pair_0028,word,ಕರಣ (karaṇa),ಶಿಕ್ಷಣ ಜೀವನ ಸುಧಾರಣೆಯ ಕರಣ.,ನೃತ್ಯಕ ಕರಣಗಳು ಅದ್ಭುತವಾಗಿವೆ.,ಕರಣ,ಕರಣ,1,1,2,,1,
pair_0029,word,ಪ್ರಭು (prabhu),ಸೋಮನಾಥ ತನ್ನ ಗುಲಾಮನ ಪ್ರಭು.,ಪ್ರಭುವಿನ ಆದೇಶ ಪಾಲಿಸಲೇಬೇಕು.,ಪ್ರಭು,ಪ್ರಭು,1,1,1,1.0,1,
pair_0030,word,ಪ್ರಭು (prabhu),ಪ್ರಭುವೆ ನಮ್ಮನ್ನು ರಕ್ಷಿಸಿ.,ಪ್ರಭುವಿನ ಕೃಪೆ ಅಪರಿಸೀಮ.,ಪ್ರಭು,ಪ್ರಭು,1,1,2,2.0,1,
pair_0031,word,ಭಕ್ತ (bhakta),ಕೃಷ್ಣನ ಭಕ್ತರು ಕೋವಿಲಿಗೆ ಸೆರೆದುಬಂದರು.,ಆ ಗುರುವಿನ ಭಕ್ತ ತುಂಬಾ ಆಸ್ಥೆಗಳುದ್ದ.,ಭಕ್ತ,ಭಕ್ತ,1,1,1,1.0,1,
pair_0032,word,ಭಕ್ತ (bhakta),ಅರಸನ ಭಕ್ತರು ನಿರ್ದೇಶ ಪಾಲಿಸಿದರು.,ಭಕ್ತರನ್ನು ಸಮ್ಮಾನಿಸಿ.,ಭಕ್ತ,ಭಕ್ತ,1,1,2,2.0,1,
pair_0033,word,ರಸ (rasa),ಆ ಅನ್ನದ ರಸ ಅತ್ಯಂತ ಸುಮಾರು.,ಲೆಮೆನ್ ರಸ ಅಮ್ಲೀಯವಾಗಿರುತ್ತದೆ.,ರಸ,ರಸ,1,1,1,1.0,1,
pair_0034,word,ರಸ (rasa),ಹಣ್ಣಿನ ರಸ ಮಿಠಾಗಿರುತ್ತದೆ.,ಗೆಜ್ಜಿನ ರಸ ಸೋಯಿ ರಸ ಹೊಂದಿಕೆ.,ರಸ,ರಸ,1,1,2,2.0,1,
pair_0035,word,ರಸ (rasa),ಕವಿತೆಯಲ್ಲಿ ಭಿನ್ನ ರಸಗಳು ಇವೆ.,ಶೃಂಗಾರ ರಸ ಸಂಗೀತದಲ್ಲಿ ಪ್ರಕಾಶಿತವಾಗುತ್ತದೆ.,ರಸ,ರಸ,1,1,3,3.0,1,
pair_0036,word,ಅರ್ಥ (artha),ಈ ಮಾತುಗಳ ಅರ್ಥ ತೃಪ್ತಿದಾಯಕವಾಗಿದೆ.,ಪದದ ಅರ್ಥ ತಿಳಿಸಿ.,ಅರ್ಥ,ಅರ್ಥ,1,1,1,1.0,1,
pair_0037,word,ಅರ್ಥ (artha),ಸಭೆ ಅರ್ಥ ಸೂಚಿಸಿದೆ.,ಅರ್ಥ ಪಾಲಿಸುವುದು ಅವಶ್ಯಕ.,ಅರ್ಥ,ಅರ್ಥ,1,1,2,2.0,1,
pair_0038,word,ಅರ್ಥ (artha),ಯುವಕನ ಅರ್ಥ ಉನ್ನತಿಯಿತು.,ಈ ಪ್ರಯೋಗದ ಅರ್ಥ ತಪ್ಪಾದ ವಿಷಯ ಪಕ್ಷೀಕರಿಸುವುದು.,ಅರ್ಥ,ಅರ್ಥ,1,1,3,3.0,1,
pair_0039,word,ನೀಡ (nīḍa),ಪಕ್ಷಿಯ ನೀಡ ವೃಕ್ಷದ ಮೇಲೆ ಇದೆ.,ಸೂಕನಲ್ಲಿ ನೀಡ ತಿರಿಯುತ್ತೆ.,ನೀಡ,ನೀಡ,1,1,1,1.0,1,
pair_0040,word,ನೀಡ (nīḍa),ಬೆಕೆಲೆಗಾಗಿ ಪರಿವಾರದ ನೀಡ ನಿರ್ಮಾಣ ಮಾಡಿದರು.,ಹೊಸ ನೀಡಕ್ಕೆ ಸ್ವಾಗತ.,ನೀಡ,ನೀಡ,1,1,2,2.0,1,
pair_0041,word,ಮಾತು (mātu),ನನ್ನ ಮಾತು ಆಲಿಸಿ.,ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ಮಾತು,ಮಾತು,0,0,1,2.0,0,
pair_0042,word,ಮಾತು (mātu),ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ಮಾತು,ಮಾತು,0,0,1,3.0,0,
pair_0043,word,ಮಾತು (mātu),ಇದು ಗಮನಾರ್ಹ ಮಾತು.,ತಲೆಕೆಳಿತ ಮಾತು ನಂಬಬೇಡ.,ಮಾತು,ಮಾತು,0,0,2,3.0,0,
pair_0044,word,ಮಾತು (mātu),ಪಟ್ಟಣದಲ್ಲಿ ಸಾಕಷ್ಟು ಮಾತು ಆಗಿದೆ.,ಆ ಮಾತು ನಿಜವಾಗಿದೆ.,ಮಾತು,ಮಾತು,0,0,3,1.0,0,
pair_0045,word,ಹಸ್ತ (hasta),ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಹಸ್ತ,ಹಸ್ತ,0,0,1,2.0,0,
pair_0046,word,ಹಸ್ತ (hasta),ಹಸ್ತ ತೊಳೆಯಿರಿ.,ಅವನ ಹಸ್ತ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,ಹಸ್ತ,ಹಸ್ತ,0,0,1,3.0,0,
pair_0047,word,ಹಸ್ತ (hasta),ಆನೆಯ ಹಸ್ತ ಅತ್ಯಂತ ಶಕ್ತಿಶಾಳಿ.,ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,ಹಸ್ತ,ಹಸ್ತ,0,0,2,4.0,0,
pair_0048,word,ಹಸ್ತ (hasta),ಈ ಗ್ರಂಥ ಶೇಷಾದ್ರಿಯ ಹಸ್ತದಿಂದ ಬರೆದಿದೆ.,ತನ್ನ ಹಸ್ತ ಮೆರೆದುಕೊಂಡರು.,ಹಸ್ತ,ಹಸ್ತ,0,0,3,1.0,0,
pair_0049,word,ಹಸ್ತ (hasta),ಸಭೆ ಅವನ ಹಸ್ತದಲ್ಲಿದೆ.,ಹಸ್ತದಿಂದ ನೀರು ಕುಡಿಯುತ್ತವೆ.,ಹಸ್ತ,ಹಸ್ತ,0,0,4,2.0,0,
pair_0050,word,ಬಾಗ (bāga),ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,ಬಾಗ,ಬಾಗ,0,0,1,2.0,0,
pair_0051,word,ಬಾಗ (bāga),ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,ಬಾಗ,ಬಾಗ,0,0,1,3.0,0,
pair_0052,word,ಬಾಗ (bāga),ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,ಬಾಗ,ಬಾಗ,0,0,2,3.0,0,
pair_0053,word,ಚಿತ್ರ (chitra),ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಚಿತ್ರ,ಚಿತ್ರ,0,0,1,2.0,0,
pair_0054,word,ಚಿತ್ರ (chitra),ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ.,ಚಿತ್ರ,ಚಿತ್ರ,0,0,1,3.0,0,
pair_0055,word,ಚಿತ್ರ (chitra),ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ.,ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ.,ಚಿತ್ರ,ಚಿತ್ರ,0,0,2,4.0,0,
pair_0056,word,ಚಿತ್ರ (chitra),ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ.,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ.,ಚಿತ್ರ,ಚಿತ್ರ,0,0,3,4.0,0,
pair_0057,word,ಕಾಲ (kāla),ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,ಕಾಲ,ಕಾಲ,0,0,1,2.0,0,
pair_0058,word,ಕಾಲ (kāla),ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,ಕಾಲ,ಕಾಲ,0,0,1,2.0,0,
pair_0059,word,ಕಾಲ (kāla),ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.,ಕಾಲ,ಕಾಲ,0,0,2,5.0,0,
pair_0060,word,ಕಾಲ (kāla),ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.,ಕಾಲ,ಕಾಲ,0,0,2,5.0,0,
pair_0061,word,ಧರಣಿ (dharaṇi),ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ.,ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು.,ಧರಣಿ,ಧರಣಿ,0,0,1,2.0,0,
pair_0062,word,ಧರಣಿ (dharaṇi),ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ.,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ.,ಧರಣಿ,ಧರಣಿ,0,0,1,2.0,0,
pair_0063,word,ಚಕ್ರ (chakra),ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ.,ಜೀವನದ ಚಕ್ರ ಮುಂದುವರಿದುಕೊಂಡಿದೆ.,ಚಕ್ರ,ಚಕ್ರ,0,0,1,2.0,0,
pair_0064,word,ಚಕ್ರ (chakra),ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ.,ಯೋಗದಲ್ಲಿ ಆಚ್ಠ ಚಕ್ರಗಳು ಮುಖ್ಯ.,ಚಕ್ರ,ಚಕ್ರ,0,0,1,3.0,0,
pair_0065,word,ಚಕ್ರ (chakra),ಋತುಗಳ ಚಕ್ರ ಪುನರಾವೃತ್ತಿಯಾಗುತ್ತಿದೆ.,ಕೃಷ್ಣನ ಚಕ್ರ ವೈಷ್ಣವ ಅಸ್ತ್ರ.,ಚಕ್ರ,ಚಕ್ರ,0,0,2,4.0,0,
pair_0066,word,ಚಕ್ರ (chakra),ಹೃದಯ ಚಕ್ರ ಸಕ್ರಿಯಗೊಳಿಸುತ್ತಾರೆ.,ಸುದರ್ಶನ ಚಕ್ರ ಸಕಲವನ್ನು ನಾಶಮಾಡುತ್ತಿದೆ.,ಚಕ್ರ,ಚಕ್ರ,0,0,3,4.0,0,
pair_0067,word,ಕರಣ (karaṇa),ಈ ಘಟನೆಯ ಕರಣ ಎಂದರೆ ನಿರ್ಲಕ್ಷ್ಯತೆ.,ಶಿಕ್ಷಣ ಜೀವನ ಸುಧಾರಣೆಯ ಕರಣ.,ಕರಣ,ಕರಣ,0,0,1,2.0,0,
pair_0068,word,ಪ್ರಭು (prabhu),ಸೋಮನಾಥ ತನ್ನ ಗುಲಾಮನ ಪ್ರಭು.,ಪ್ರಭುವೆ ನಮ್ಮನ್ನು ರಕ್ಷಿಸಿ.,ಪ್ರಭು,ಪ್ರಭು,0,0,1,2.0,0,
pair_0069,word,ಪ್ರಭು (prabhu),ಪ್ರಭುವಿನ ಆದೇಶ ಪಾಲಿಸಲೇಬೇಕು.,ಪ್ರಭುವಿನ ಕೃಪೆ ಅಪರಿಸೀಮ.,ಪ್ರಭು,ಪ್ರಭು,0,0,1,2.0,0,
pair_0070,word,ಭಕ್ತ (bhakta),ಕೃಷ್ಣನ ಭಕ್ತರು ಕೋವಿಲಿಗೆ ಸೆರೆದುಬಂದರು.,ಅರಸನ ಭಕ್ತರು ನಿರ್ದೇಶ ಪಾಲಿಸಿದರು.,ಭಕ್ತ,ಭಕ್ತ,0,0,1,2.0,0,
pair_0071,word,ಭಕ್ತ (bhakta),ಆ ಗುರುವಿನ ಭಕ್ತ ತುಂಬಾ ಆಸ್ಥೆಗಳುದ್ದ.,ಭಕ್ತರನ್ನು ಸಮ್ಮಾನಿಸಿ.,ಭಕ್ತ,ಭಕ್ತ,0,0,1,2.0,0,
pair_0072,word,ರಸ (rasa),ಆ ಅನ್ನದ ರಸ ಅತ್ಯಂತ ಸುಮಾರು.,ಕವಿತೆಯಲ್ಲಿ ಭಿನ್ನ ರಸಗಳು ಇವೆ.,ರಸ,ರಸ,0,0,1,3.0,0,
pair_0073,word,ರಸ (rasa),ಹಣ್ಣಿನ ರಸ ಮಿಠಾಗಿರುತ್ತದೆ.,ಶೃಂಗಾರ ರಸ ಸಂಗೀತದಲ್ಲಿ ಪ್ರಕಾಶಿತವಾಗುತ್ತದೆ.,ರಸ,ರಸ,0,0,2,3.0,0,
pair_0074,word,ರಸ (rasa),ಲೆಮೆನ್ ರಸ ಅಮ್ಲೀಯವಾಗಿರುತ್ತದೆ.,ದೇವತೆಗಳು ಅಮೃತ ರಸ ಕುಡಿದರು.,ರಸ,ರಸ,0,0,1,4.0,0,
pair_0075,word,ಅರ್ಥ (artha),ಈ ಮಾತುಗಳ ಅರ್ಥ ತೃಪ್ತಿದಾಯಕವಾಗಿದೆ.,ಸಭೆ ಅರ್ಥ ಸೂಚಿಸಿದೆ.,ಅರ್ಥ,ಅರ್ಥ,0,0,1,2.0,0,
pair_0076,word,ಅರ್ಥ (artha),ಪದದ ಅರ್ಥ ತಿಳಿಸಿ.,ಯುವಕನ ಅರ್ಥ ಉನ್ನತಿಯಿತು.,ಅರ್ಥ,ಅರ್ಥ,0,0,1,3.0,0,
pair_0077,word,ನೀಡ (nīḡ),ಪಕ್ಷಿಯ ನೀಡ ವೃಕ್ಷದ ಮೇಲೆ ಇದೆ.,ಹೊಸ ನೀಡಕ್ಕೆ ಸ್ವಾಗತ.,ನೀಡ,ನೀಡ,0,0,1,2.0,0,
pair_0078,word,ತೆಗೆ (tege),ನನ್ನ ಹಸ್ತ ತೆಗೆ.,ಹಾಕುಮಾರಿಗೆ ನಕ್ಷತ್ರ ತೆಗೆದು ಕೊಟ್ಟರು.,ತೆಗೆ,ತೆಗೆ,1,1,1,1.0,1,
pair_0079,word,ತೆಗೆ (tege),ಹೋಗಿ ಮೇಲಿನ ತಗರು ತೆಗೆದುಕೊ.,ಕಂಕುದಿಂದ ಮುಖ್ಯ ಕೆಲಸ ತೆಗೆದುಕೊ.,ತೆಗೆ,ತೆಗೆ,1,1,2,2.0,1,
pair_0080,word,ತೆಗೆ (tege),ನೆಲದಿಂದ ಪಿಸು ತೆಗೆದುಕೊ.,ಹೊರಗಿನ ಸೂಪ ತೆಗೆದುಕೊಂಡೆ.,ತೆಗೆ,ತೆಗೆ,1,1,3,3.0,1,
pair_0081,word,ತೆಗೆ (tege),ಗುರಿನೆ ಬಾರಣವನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ.,ಪ್ರಾಣಿ ಪರೀಕ್ಷೆಯಲ್ಲಿ ತೆಗೆದುಕೊಂಡರು.,ತೆಗೆ,ತೆಗೆ,1,1,4,4.0,1,
pair_0082,word,ಕೊಡು (koḍu),ಆನೆಗೆ ಒಣಹೂವು ಕೊಡಿ.,ನನಗೆ ನೀರು ಕೊಡಿ.,ಕೊಡು,ಕೊಡು,1,1,1,1.0,1,
pair_0083,word,ಕೊಡು (koḍu),ದೇವರಿಗೆ ಹೂವು ಕೊಡುವುದು ಸಂಪ್ರದಾಯ.,ಅತಿಥಿಗೆ ಆಸನ ಕೊಡಿ.,ಕೊಡು,ಕೊಡು,1,1,2,2.0,1,
pair_0084,word,ಕೊಡು (koḍu),ಶತ್ರುವಿಗೆ ಭೀಷಣ ಪ್ರಹಾರ ಕೊಡುತ್ತೆ.,ತೊಡೆಯಿಂದ ಥಳಿ ಕೊಟ್ಟನಳೆ.,ಕೊಡು,ಕೊಡು,1,1,3,3.0,1,
pair_0085,word,ಕೊಡು (koḍu),ಗಿರುಗಳ ಹಾಕುಮಾರಿ ಬೆಳ್ಳಳಿ ಕೊಡುತ್ತವೆ.,ಕ್ಷೇತ್ರ ಸಂಪೂರ್ಣ ಫಸಲಿ ಕೊಡುತ್ತಿದೆ.,ಕೊಡು,ಕೊಡು,1,1,4,4.0,1,
pair_0086,word,ನೋಡು (nōḍu),ಆಕಾಶ ನೋಡಿ.,ಒಟ್ಟಿಗೆ ಏನು ನೋಡುತ್ತೀಯ?,ನೋಡು,ನೋಡು,1,1,1,1.0,1,
pair_0087,word,ನೋಡು (nōḍu),ಸಿನೆಮಾ ನೋಡುವುದು ಆನಂದ.,ಕಡಿಮೆ ಮಾರುಕಟ್ಟೆ ನೋಡೊಳ್ಳಿ.,ನೋಡು,ನೋಡು,1,1,2,2.0,1,
pair_0088,word,ನೋಡು (nōḍu),ನನ್ನ ಸ್ನೇಹಿತ ನೀಡೆ ನೋಡುತ್ತೆ.,ರಾತ್ರಿ ನಿಮ್ಮನ್ನು ನೋಡುತ್ತೇನೆ.,ನೋಡು,ನೋಡು,1,1,3,3.0,1,
pair_0089,word,ನೋಡು (nōḍu),ಸರಿಪೊತ್ತು ನೋಡಿ.,ಚಿಕಿತ್ಸಕ ರೋಗಿಯನ್ನು ನೋಡಿದರು.,ನೋಡು,ನೋಡು,1,1,4,4.0,1,
pair_0090,word,ಸಾಕು (sāku),ಇಷ್ಟು ಸಾಕು.,ಹಣ ಸಾಕುದೆ?,ಸಾಕು,ಸಾಕು,1,1,1,1.0,1,
