pair_id,target_word,pos,sentence1,sentence2,synset_1,synset_2,label,split,kannada_ratio_1,kannada_ratio_2,quality_flag
v2_00418,ಸಮೂಹ,noun,ಈ ವಾಕ್ಯದಲ್ಲಿ ಸಮೂಹ ಎಂಬ ಪದದ ಅರ್ಥ ಜೀವ ವಿಜ್ಞಾನದಲ್ಲಿ ಸಜೀವಿಗಳ ದೊಡ್ಡ ಐದು ವಿಭಾಗ ಅಥವಾ ಸಜೀವಿಗಳ ತುಂಬಾ ಎತ್ತರದ ಸ್ತರದ ಮೇಲೆ ಮಾಡುವ ವರ್ಗೀಕರಣ,ಸಮೂಹ ಕುರಿತು ಯಾವುದಾದರು ಕಾರ್ಯ ಅಥವಾ ಉದ್ದೇಶದ ಸಿದ್ಧಿಗಾಗಿ ಕೂಡಿರುವ ಜನರ ಸಮೂಹ,26689,4077,0,train,0.8455284552845529,0.8676470588235294,ok
v2_00232,ಕಠಿಣವಾದ,adjective,ಈ ಕಠಿಣವಾದ ಲೆಕ್ಕವನ್ನು ಮೊದಲು ಯಾರು ಬಿಡಿಸುವಿರಿ?,ಕಠಿಣವಾದ ಕುರಿತು ತುಂಬಾ ಒರಟಾದ ಅಥವಾ ಕಿವಿಗೆ ಕೇಳಲಿಕ್ಕೆ ಸಾಧ್ಯವಾಗದಂತಹ ಧ್ವನಿ ಅಥವಾ ಶಬ್ದ,16286,4177,0,train,0.8604651162790697,0.8701298701298701,ok
v2_00011,ಹೇಳು,verb,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೇಳು ಎಂಬ ಪದದ ಅರ್ಥ ಮೌಖಿಕವಾಗಿ ಯಾವುದೋ ಒಂದನ್ನು ವರ್ಣನೆ ಮಾಡುವ ಪ್ರಕ್ರಿಯೆ,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೇಳು ಎಂಬ ಪದದ ಅರ್ಥ ಕವಿತೆ, ಗಜಲ್ ಮುಂತಾದವುಗಳನ್ನು ಹಾಡುವ ಪ್ರಕ್ರಿಯೆ",13369,13373,0,train,0.8589743589743589,0.8493150684931506,ok
v2_00524,ಜ್ಞಾನ,noun,ಕಾವ್ಯಮೀಮಾಂಸೆಯ ಜ್ಞಾನ ಹಳಗನ್ನಡ ಸಾಹಿತ್ಯದಲ್ಲಿ ಅಪಾರವಾಗಿದೆ.,ಈ ವಾಕ್ಯದಲ್ಲಿ ಜ್ಞಾನ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದೇ ವಸ್ತು ವಿಷಯದ ಬಗ್ಗೆ ಇರುವ ಹೆಚ್ಚಿನ ತಿಳುವಳಿಕೆ,99,99,1,validation,0.9038461538461539,0.8481012658227848,ok
v2_00091,ಜ್ಞಾನ,noun,ಜ್ಞಾನ ಕುರಿತು ಯಾವುದೇ ಮಾತು ಇತ್ಯಾದಿಗಳನ್ನು ಚೆನ್ನಾಗಿ ತಿಳಿಸುವ ಶಕ್ತಿ ಅಥವಾ ಅದರ ಬಗ್ಗೆ ಚೆನ್ನಾಗಿ ತಿಳಿದಿರುವುದು,ಈ ವಾಕ್ಯದಲ್ಲಿ ಜ್ಞಾನ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದೇ ಮಾತು ಇತ್ಯಾದಿಗಳನ್ನು ಚೆನ್ನಾಗಿ ತಿಳಿಸುವ ಶಕ್ತಿ ಅಥವಾ ಅದರ ಬಗ್ಗೆ ಚೆನ್ನಾಗಿ ತಿಳಿದಿರುವುದು,13621,13621,1,train,0.8775510204081632,0.8632478632478633,ok
v2_00358,ಹೊಡೆ,verb,ರಾಮನು ರಾಣನ ಮೇಲೆ ಅಮೋಘ ಅಸ್ತ್ರವನ್ನು ಹೊಡೆದನು.,ಹೊಡೆ ಕುರಿತು ಅಸ್ತ್ರ-ಶಸ್ತ್ರ ಮೊದಲಾದವುಗಳನ್ನು ಬಿಡುವ ಅಥವಾ ಹೊಡೆಯುವ ಪ್ರಕ್ರಿಯೆ,5438,5438,1,train,0.8536585365853658,0.8840579710144928,ok
v2_00526,ತೆಗೆ,verb,ತೆಗೆ ಕುರಿತು ಗಣಕಯಂತ್ರದಲ್ಲಿ ಯಾವುದೇ ಕಡತ ಮುಂತಾದವುಗಳನ್ನು ತೆರೆಯುವ ಪ್ರಕ್ರಿಯೆ,ತೆಗೆ ಕುರಿತು ಯಾವುದಾದರು ಪ್ರಮಾಣ ಮೊದಲಾದವುಗಳನ್ನು ಪಡೆಯುವುದಕ್ಕಾಗಿ ಗಣನೆಯನ್ನು ಮಾಡುವುದು,27530,35420,0,validation,0.8985507246376812,0.9090909090909091,ok
v2_00542,ಹೊಡೆ,verb,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೊಡೆ ಎಂಬ ಪದದ ಅರ್ಥ ಗಾಡಿ, ರಥ ಮೊದಲಾದವುಗಳನ್ನು ಓಡಿಸುವುದು",ರಾಮನು ಮೂರ್ತಿಯನ್ನು ಹಾಕುವುದಕ್ಕಾಗಿ ಗೋಡೆಗೆ ಮೊಳೆಯನ್ನು ಹೊಡೆಯುತ್ತಿದ್ದಾನೆ.,10295,8938,0,validation,0.84375,0.9090909090909091,ok
v2_00262,ಆರಿಸು,verb,ಆರಿಸು ಕುರಿತು ಹಲವಾರು ವಸ್ತುಗಳಲ್ಲಿ ನಿಮ್ಮ ಮನಸ್ಸಿಗೆ ಇಷ್ಟವಾದ ವಸ್ತುಗಳನ್ನು ಆರಿಸಿ ಬೇರೆ ಇಡುವ ಪ್ರಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಆರಿಸು ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದಾದರು ವಸ್ತುವಿನ ತಾಪಮಾನ ಅಥವಾ ಬಿಸಿಯನ್ನು ಕಡಿಮೆ ಮಾಡುವುದು,12051,37406,0,train,0.8804347826086957,0.8620689655172413,ok
v2_00429,ಗಟ್ಟಿಯಾದ,adjective,ಮಕ್ಕಳು ಗಟ್ಟಿಯಾದ ಸ್ವರದಲ್ಲಿ ಹಾಡುತ್ತಿದ್ದಾರೆ.,ಗಟ್ಟಿಯಾದ ಕುರಿತು ಮಾಮೂಲಿಗಿಂತ ಸ್ವಲ್ಪ ಜೋರಾದ,6010,6010,1,train,0.9024390243902439,0.8974358974358975,ok
v2_00239,ಕಟ್ಟು,noun,ಅಪ್ಪ ಒಂದು ಕಟ್ಟು ಬೀಡಿ ತರಿಸಿದ.,ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಟ್ಟು ಎಂಬ ಪದದ ಅರ್ಥ ಹೊತ್ತುಕೊಂಡು ಹೋಗಲು ಅನುಕೂಲಿಸುವಂತೆ ಸುತ್ತಿದ ಅಥವಾ ಒಟ್ಟಿಗೆ ಕಟ್ಟಿದ ವಸ್ತುಗಳು,12459,12459,1,train,0.8214285714285714,0.87,ok
v2_00437,ದುಃಖ,noun,ದುಃಖ ಕುರಿತು ಇನ್ನೊಬ್ಬರಿಂದ ಬಂದೊದಗುವಂತಹ ಹಾನಿ,ಈ ವಾಕ್ಯದಲ್ಲಿ ದುಃಖ ಎಂಬ ಪದದ ಅರ್ಥ ಇನ್ನೊಬ್ಬರಿಂದ ಬಂದೊದಗುವಂತಹ ಹಾನಿ,11624,11624,1,train,0.9024390243902439,0.8666666666666667,ok
v2_00156,ಅಧಿಕೃತ,adjective,ನಾವು ಯಾವುದೇ ವಿಷಯವನ್ನು ಗ್ರಹಿಸಬೇಕಾದರೆ ನಮ್ಮ ಅಧಿಕೃತ ಭಾಷೆಯಿಂದ ಮಾತ್ರ ಚನ್ನಾಗಿ ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳಲು ಸಾಧ್ಯ.,ಅಧಿಕೃತ ಕುರಿತು ಯಾವುದೋ ಒಂದು ಮಾತು ಅಥವಾ ಕೆಲಸಕ್ಕೆ ಆಧಾರದ ರೂಪದಲ್ಲಿ ಇರುವ,32940,32940,1,train,0.8723404255319149,0.859375,ok
v2_00599,ಜ್ಞಾನ,noun,ಜ್ಞಾನ ಕುರಿತು ಯಾವುದೇ ಕತೆ ಕಾದಂಬರಿ ಕಾವ್ಯ ಮುಂತಾದ ಬರಹಗಳು ಹೇಳುವ ತಮ್ಮ ಧ್ಯೇಯ ವಾಕ್ಯ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಜ್ಞಾನ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದೇ ಕತೆ ಕಾದಂಬರಿ ಕಾವ್ಯ ಮುಂತಾದ ಬರಹಗಳು ಹೇಳುವ ತಮ್ಮ ಧ್ಯೇಯ ವಾಕ್ಯ,3836,3836,1,test,0.8513513513513513,0.8387096774193549,ok
v2_00177,ತೆಗೆ,verb,ತೆಗೆ ಕುರಿತು ಕಟ್ಟಿರುವ ಗಂಟು ಮುಂತಾದುವಗಳನ್ನು ಬಿಚ್ಚುವ ಪ್ರಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ತೆಗೆ ಎಂಬ ಪದದ ಅರ್ಥ ಕಟ್ಟಿರುವ ಗಂಟು ಮುಂತಾದುವಗಳನ್ನು ಬಿಚ್ಚುವ ಪ್ರಕ್ರಿಯೆ,12232,12232,1,train,0.896551724137931,0.8701298701298701,ok
v2_00573,ಕಟ್ಟು,noun,ಈ ಚಿತ್ರಫಲಕದ ಕಟ್ಟು ಎಲ್ಲಿದೆ?,ಕಟ್ಟು ಕುರಿತು ಚಿತ್ರಫಲಕ ಮೊದಲಾದವುಗಳನ್ನು ಭೂಮಿಯಿಂದ ಮೇಲೆ ಭಾಗಕ್ಕೆ ಕಟ್ಟುವುದಕ್ಕೆ ಉಪಯೋಗಿಸುವಂತಹ ಮರದ ಚೌಕಟ್ಟು,36947,36947,1,test,0.8461538461538461,0.8958333333333334,ok
v2_00434,ಹಗ್ಗ,noun,ಹಗ್ಗ ಕುರಿತು ಬಾವಿಯಿಂದ ನೀರು ತುಂಬಿದ ಬಿಂದುಗೆಯನ್ನು ಎಳೆಯಲು ಬಳಸುವ ಹಗ್ಗ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹಗ್ಗ ಎಂಬ ಪದದ ಅರ್ಥ ಬಾವಿಯಿಂದ ನೀರು ತುಂಬಿದ ಬಿಂದುಗೆಯನ್ನು ಎಳೆಯಲು ಬಳಸುವ ಹಗ್ಗ,7203,7203,1,train,0.873015873015873,0.8536585365853658,ok
v2_00570,ಮಾಡು,verb,"ಮಾಡು ಕುರಿತು ಯಾವುದೇ ಕೆಲಸ, ವಸ್ತು ಮುಂತಾದುವುಗಳಿಗೆ ಉಪಯೋಗಕ್ಕೆ ಬರುವ ಪ್ರಕ್ರಿಯೆ",ಅನುಶಾಸನಗಳು ನಮ್ಮನು ಮಹಾ ವ್ಯಕ್ತಿಗಳಾಗಿ ಮಾಡುತ್ತದೆ.,27520,27523,0,test,0.8714285714285714,0.8888888888888888,ok
v2_00119,ಹೊಡೆ,verb,ರಾಮನು ಮೂರ್ತಿಯನ್ನು ಹಾಕುವುದಕ್ಕಾಗಿ ಗೋಡೆಗೆ ಮೊಳೆಯನ್ನು ಹೊಡೆಯುತ್ತಿದ್ದಾನೆ.,ಹೊಡೆ ಕುರಿತು ಒಳಕ್ಕೆ ಹೋಗುವುದಕ್ಕಾಗಿ ಹೊರಗಿನಿಂದ ಜೋರಾಗಿ ಹೊಡೆಯುವ ಕ್ರಿಯೆ,8938,8938,1,train,0.9090909090909091,0.890625,ok
v2_00504,ಹೇಳು,verb,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೇಳು ಎಂಬ ಪದದ ಅರ್ಥ ಗಿಳಿ, ಮೈನಾ ಮುಂತಾದ ಪಕ್ಷಿ ಮನುಷ್ಯನ ಮಾತನ್ನು ಕಲಿಸುವ ಪ್ರಕ್ರಿಯೆ",ಹೇಳು ಕುರಿತು ಏನನ್ನಾದರೂ ಮಾಡುವುದಕ್ಕೆ ಆದೇಶ ನೀಡುವುದು,13942,4300,0,validation,0.8390804597701149,0.8936170212765957,ok
v2_00516,ಮುರಿ,verb,ಮುರಿ ಕುರಿತು ಹೊಡೆತದಿಂದ ಯಾವುದಾದರು ಪದಾರ್ಥವನ್ನು ತುಂಡು ಮಾಡುವುದು ಅಥವಾ ಭಾಗ ಮಾಡುವುದು,ಈ ವಾಕ್ಯದಲ್ಲಿ ಮುರಿ ಎಂಬ ಪದದ ಅರ್ಥ ಹೊಡೆತದಿಂದ ಯಾವುದಾದರು ಪದಾರ್ಥವನ್ನು ತುಂಡು ಮಾಡುವುದು ಅಥವಾ ಭಾಗ ಮಾಡುವುದು,8886,8886,1,validation,0.881578947368421,0.8631578947368421,ok
v2_00636,ಆರಿಸು,verb,ತಾಯಿಯು ಮಗುವಿಗೆ ಊಟ ಮಾಡಿಸಲು ಅನ್ನವನ್ನು ಆರಿಸುತ್ತಿದ್ದಾಳೆ.,ಈ ವಾಕ್ಯದಲ್ಲಿ ಆರಿಸು ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದಾದರು ವಸ್ತುವಿನ ತಾಪಮಾನ ಅಥವಾ ಬಿಸಿಯನ್ನು ಕಡಿಮೆ ಮಾಡುವುದು,37406,37406,1,test,0.8846153846153846,0.8620689655172413,ok
v2_00077,ತೆಗೆ,verb,"ಯಾರೋ ಬಂದಿದ್ದಾರೇ, ಬಾಗಿಲನ್ನು ತೆಗೆ.",ಈ ವಾಕ್ಯದಲ್ಲಿ ತೆಗೆ ಎಂಬ ಪದದ ಅರ್ಥ ಮುಚ್ಚಿರುವ ಅಥವಾ ತೆಡೆಹಿಡಿಯುವಂತಹ ವಸ್ತುವನ್ನು ತೆಗೆಯುವ ಕ್ರಿಯೆ,10852,10852,1,train,0.84375,0.872093023255814,ok
v2_00111,ಹೇಳು,verb,ನನ್ನ ಅತ್ತೆ ನನಗೆ ಯಾವಾಗಲೂ ಏನನ್ನಾದರೂ ಹೇಳುತ್ತಿರುತ್ತಾರೆ.,ಹೇಳು ಕುರಿತು ನಿಕೃಷ್ಟವಾಗಿ ಹೇಳು,11483,11483,1,train,0.8823529411764706,0.8928571428571429,ok
v2_00064,ವರ್ಗ,noun,ಏಳರ ವರ್ಗ ನಲವತ್ತೊಂಬತ್ತು.,ವರ್ಗ ಕುರಿತು ಯಾವುದೇ ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಮೊತ್ತ,12490,12490,1,train,0.8695652173913043,0.8787878787878788,ok
v2_00282,ಶಕ್ತಿ,noun,ಸೂರ್ಯನ ಶಕ್ತಿ ಅಗಾದವಾದದ್ದು.,ಶಕ್ತಿ ಕುರಿತು ಯಾವುದೇ ಕೆಲಸ ಮಾಡಲು ಉಪಯೋಗವಾಗುವ ಬಲ,3933,3933,1,train,0.88,0.8636363636363636,ok
v2_00110,ಶಕ್ತಿ,noun,ಶಕ್ತಿ ಕುರಿತು ಬಲ/ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸಿಕೊಳ್ಳುವ ಉದ್ದೇಶದಿಂದ ಮಾಡುವಂತಹ ಶಾರೀರಿಕವಾದ ಶ್ರಮ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಶಕ್ತಿ ಎಂಬ ಪದದ ಅರ್ಥ ಬಲ/ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸಿಕೊಳ್ಳುವ ಉದ್ದೇಶದಿಂದ ಮಾಡುವಂತಹ ಶಾರೀರಿಕವಾದ ಶ್ರಮ,5939,5939,1,train,0.8974358974358975,0.8762886597938144,ok
v2_00073,ಹೇಳು,verb,ಹೇಳು ಕುರಿತು ಅಚಾನಕ್ಕಾಗಿ ಎತ್ತುವ ಅಥವಾ ಆರಂಭಿಸುವ ಪ್ರಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೇಳು ಎಂಬ ಪದದ ಅರ್ಥ ಅಚಾನಕ್ಕಾಗಿ ಎತ್ತುವ ಅಥವಾ ಆರಂಭಿಸುವ ಪ್ರಕ್ರಿಯೆ,12196,12196,1,train,0.8867924528301887,0.8611111111111112,ok
v2_00003,ಕಠಿಣವಾದಂತ,adjective,ಕಠಿಣವಾದಂತ ಕುರಿತು ಯಾವುದೋ ಒಂದು ಪೂರ್ಣವಾಗಿ ಅಥವಾ ಸುಲಭವಾಗಿ ಅರ್ಥವಾಗುವುದಿಲ್ಲವೋ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಠಿಣವಾದಂತ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದೋ ಒಂದು ಪೂರ್ಣವಾಗಿ ಅಥವಾ ಸುಲಭವಾಗಿ ಅರ್ಥವಾಗುವುದಿಲ್ಲವೋ,16286,16286,1,train,0.9,0.8764044943820225,ok
v2_00056,ಹೊಡೆ,verb,ಚದುರಂಗ ಆಡುವವನು ಒಂದು ಸೈನಿಕನಿಂದ ಪ್ರತಿಸ್ಪರ್ಧಿಯ ಮಂತ್ರಿಯನ್ನು ಹೊಡೆದರು.,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೊಡೆ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದಾದರು ವಸ್ತುವನ್ನು ಉಪಯೋಗಿಸಿ ಕೆಡಹುದು ಅಥವಾ ಹೊಡೆಯವ ಪ್ರಕ್ರಿಯೆ (ವಿಶೇಷವಾಗಿ ಆಟದಲ್ಲಿ),12499,12499,1,train,0.890625,0.8545454545454545,ok
v2_00423,ದಂಡ,noun,ದಂಡ ಕುರಿತು ದಪ್ಪ ಮತ್ತು ಉದ್ಧವಾದ ಕೋಲು,ದಂಡ ಕುರಿತು ಒಂದು ಪ್ರಕಾರದ ವ್ಯಾಯಾಮ ಅದು ಕೈಯಿಯ ತೋಳು/ರಡ್ಡೆಯ ಬಲದಿಂದ ಬೋರಲು ಬಿದ್ದು ಮಾಡುವ ವ್ಯಾಯಾಮ,5821,6073,0,train,0.8529411764705882,0.8505747126436781,ok
v2_00336,ಮುಚ್ಚು,verb,ಮುಚ್ಚು ಕುರಿತು ಜಾರಿಯಲ್ಲಿ ಇಲ್ಲದ ಹಾಗೆ ಮಾಡುವ ಪ್ರಕ್ರಿಯೆ,ಮುಚ್ಚು ಕುರಿತು ಯಾವುದಾದರು ವಸ್ತುವನ್ನು ಮುಚ್ಚಿಡುವ ಅಥವಾ ಅಡಗಿಸಿಡುವ ಪ್ರಕ್ರಿಯೆ,34536,8956,0,train,0.88,0.8985507246376812,ok
v2_00216,ಹಗ್ಗ,noun,ಹಗ್ಗ ಕುರಿತು ಸೆಣಬು/ನಾರಿನ ದಾರ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹಗ್ಗ ಎಂಬ ಪದದ ಅರ್ಥ ಸೆಣಬು/ನಾರಿನ ದಾರ,8330,8330,1,train,0.8518518518518519,0.8260869565217391,ok
v2_00356,ಆರಿಸು,verb,ಆರಿಸು ಕುರಿತು ಹಸಿ ಇರುವ ವಸ್ತುಗಳನ್ನು ಒಣಗಿಸುವ ಪ್ರಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಆರಿಸು ಎಂಬ ಪದದ ಅರ್ಥ ಹಸಿ ಇರುವ ವಸ್ತುಗಳನ್ನು ಒಣಗಿಸುವ ಪ್ರಕ್ರಿಯೆ,21529,21529,1,train,0.8823529411764706,0.8571428571428571,ok
v2_00222,ಹಾನಿ,noun,ಹಾನಿ ಕುರಿತು ನಾಶ ಮಾಡುವ ವ್ಯಕ್ತಿ,"ಹಾನಿ ಎಂದರೆ ಹಲವುವೇಳೆ ಒಂದು ಭೌತಿಕ ವಸ್ತುವಿನಲ್ಲಾಗುವ ಯಾವುದೇ ಬದಲಾವಣೆ, ಮತ್ತು ಇದು ಅದರ ಮೊದಲಿನ ಸ್ಥಿತಿಗಿಂತ ಕೀಳಾಗುವಂತೆ ಮಾಡುತ್ತದೆ",10040,10040,1,train,0.8620689655172413,0.8695652173913043,ok
