model,target_word,sentence,true_sense,cluster,ari
xlmr,ಕಾಲ,ಕಾಲ ನೋಡುತ್ತಿರುವುದೇ ಅದು.,3,1,0.425531914893617
xlmr,ಕಾಲ,ಕಾಲದ ಸಮಯ ನಿಗದಿತವಾಗಿದೆ.,3,3,0.425531914893617
xlmr,ಕಾಲ,ಕಾಲ ಬಟ್ಟೆ ಧರಿಸಿ.,4,1,0.425531914893617
xlmr,ಕಾಲ,ಕಾಲ ಮೇಘ ಗಾಳಿ ಬೀಸುತ್ತಿದೆ.,4,1,0.425531914893617
xlmr,ಕಾಲೆ,ಅನ್ನ ಕಾಲೆ ಮಾಡಬೇಡ.,1,1,-0.25
xlmr,ಕಾಲೆ,ಅವಕಾಶ ಕಾಲೆ ಮಾಡಿದೆ.,1,2,-0.25
xlmr,ಕಾಲೆ,ಹಣ ಕಾಲೆ ಮಾಡುವುದು ನೀತಿಹೀನ.,2,0,-0.25
xlmr,ಕಾಲೆ,ಪ್ರತಿಭೆ ಕಾಲೆ ಮಾಡಬೇಡ.,2,1,-0.25
xlmr,ಕಾಲೆ,ಅಧ್ಯಯನ ಕಾಲೆ ಮಾಡಿದೆ.,3,2,-0.25
xlmr,ಕಾಲೆ,ಪರಿವಾರ ಕಾಲೆ ಮಾಡುವುದು ಅನುಚಿತ.,3,0,-0.25
xlmr,ಕಿರಿಯ,ಕಿರಿಯ ಸಮಸ್ಯೆ ಛಿದ್ರ ಪಟ್ಟು.,1,1,0.4444444444444444
xlmr,ಕಿರಿಯ,ಕಿರಿಯ ವಿವರಣೆ ಸ್ಪಷ್ಟ.,1,2,0.4444444444444444
xlmr,ಕಿರಿಯ,ಕಿರಿಯ ಮಗು ನೆಲೆಯಲ್ಲಿ.,2,1,0.4444444444444444
xlmr,ಕಿರಿಯ,ಕಿರಿಯ ವಯಸ್ಸು ಅಮೂಲ್ಯ.,2,1,0.4444444444444444
xlmr,ಕಿರಿಯ,ಕಿರಿಯ ಸಹೋದರ ಸಹಾಯಕ.,3,0,0.4444444444444444
xlmr,ಕಿರಿಯ,ಕಿರಿಯ ಪದ ತೃಪ್ತ ವೈತನಿಕ.,3,0,0.4444444444444444
xlmr,ಕೂಲಿ,ಪರೋಪಕಾರಿ ಉದ್ದೇಶದಿಂದ ಕೂಲಿ ಮಾಡುತ್ತೆ.,1,0,-0.2962962962962963
xlmr,ಕೂಲಿ,ನೋವಿನಿಂದ ಕೂಲಿ ಮಾಡಿದಾಳು.,1,2,-0.2962962962962963
xlmr,ಕೂಲಿ,ಮಗುವನ್ನು ಕೂಲಿ ಮಾಡಿ.,2,1,-0.2962962962962963
xlmr,ಕೂಲಿ,ನನ್ನನ್ನು ಕೂಲಿ ಮಾಡಿದಾಳು.,2,0,-0.2962962962962963
xlmr,ಕೂಲಿ,ಪಾರ್ಟಿಗೆ ಮಹತ್ತರ ಕೂಲಿ ಮಾಡಿದೆ.,3,2,-0.2962962962962963
xlmr,ಕೂಲಿ,ನಿನ್ನ ಸ್ನೇಹಿತರನ್ನು ಕೂಲಿ ಮಾಡೋ.,3,0,-0.2962962962962963
xlmr,ಕೊಡು,ಆನೆಗೆ ಒಣಹೂವು ಕೊಡಿ.,1,0,0.2222222222222222
xlmr,ಕೊಡು,ನನಗೆ ನೀರು ಕೊಡಿ.,1,0,0.2222222222222222
xlmr,ಕೊಡು,ದೇವರಿಗೆ ಹೂವು ಕೊಡುವುದು ಸಂಪ್ರದಾಯ.,2,2,0.2222222222222222
xlmr,ಕೊಡು,ಅತಿಥಿಗೆ ಆಸನ ಕೊಡಿ.,2,0,0.2222222222222222
xlmr,ಕೊಡು,ಶತ್ರುವಿಗೆ ಭೀಷಣ ಪ್ರಹಾರ ಕೊಡುತ್ತೆ.,3,3,0.2222222222222222
xlmr,ಕೊಡು,ತೊಡೆಯಿಂದ ಥಳಿ ಕೊಟ್ಟನಳೆ.,3,0,0.2222222222222222
xlmr,ಕೊಡು,ಗಿರುಗಳ ಹಾಕುಮಾರಿ ಬೆಳ್ಳಳಿ ಕೊಡುತ್ತವೆ.,4,1,0.2222222222222222
xlmr,ಕೊಡು,ಕ್ಷೇತ್ರ ಸಂಪೂರ್ಣ ಫಸಲಿ ಕೊಡುತ್ತಿದೆ.,4,1,0.2222222222222222
xlmr,ಗಟ್ಟ,ಗಟ್ಟ ಕಲ್ಲು ಚಾಪುತ್ತಾರೆ.,1,2,-0.2962962962962963
xlmr,ಗಟ್ಟ,ಮಜ್ಜಿಗೆ ಗಟ್ಟ ಕಕ್ಷ.,1,0,-0.2962962962962963
xlmr,ಗಟ್ಟ,ಗುರುವು ಗಟ್ಟ ಆಜ್ಞೆಕಾರಿ.,2,0,-0.2962962962962963
xlmr,ಗಟ್ಟ,ಗಟ್ಟ ನಿಯಮ ಪಾಲಿಸುತ್ತಾರೆ.,2,2,-0.2962962962962963
xlmr,ಗಟ್ಟ,ಗಟ್ಟ ಸಮಸ್ಯೆ ಎದುರಾಗಿದೆ.,3,1,-0.2962962962962963
xlmr,ಗಟ್ಟ,ಗಟ್ಟ ಅನುಸಾರ ನೋವು.,3,2,-0.2962962962962963
xlmr,ಗುರುತ್ವ,ಗುರುತ್ವ ಕಾಚು ಕೆಲಸ.,1,2,0.4444444444444444
xlmr,ಗುರುತ್ವ,ಗುರುತ್ವ ಸಮಸ್ಯೆ ಪರಿಹಾರ.,1,2,0.4444444444444444
xlmr,ಗುರುತ್ವ,ಗುರುತ್ವ ನಿರ್ಧಾರ ಕೆಳಗಿಳಿಸಲಾಯಿತು.,2,0,0.4444444444444444
xlmr,ಗುರುತ್ವ,ಗುರುತ್ವ ಕಾರ್ಯಭಾರ ತಿಳಿಸಲಾಯಿತು.,2,0,0.4444444444444444
xlmr,ಗುರುತ್ವ,ಗುರುತ್ವ ಸಂಜೆಯಲ್ಲಿ ಆರಾಧನೆ.,3,1,0.4444444444444444
xlmr,ಗುರುತ್ವ,ಗುರುತ್ವ ನೀತಿ ಅನುಷ್ಠಾನ.,3,0,0.4444444444444444
xlmr,ಚಕ್ರ,ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ.,1,2,0.6037735849056604
xlmr,ಚಕ್ರ,ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ.,1,2,0.6037735849056604
xlmr,ಚಕ್ರ,ಜೀವನದ ಚಕ್ರ ಮುಂದುವರಿದುಕೊಂಡಿದೆ.,2,0,0.6037735849056604
xlmr,ಚಕ್ರ,ಋತುಗಳ ಚಕ್ರ ಪುನರಾವೃತ್ತಿಯಾಗುತ್ತಿದೆ.,2,0,0.6037735849056604
xlmr,ಚಕ್ರ,ಯೋಗದಲ್ಲಿ ಆಚ್ಠ ಚಕ್ರಗಳು ಮುಖ್ಯ.,3,3,0.6037735849056604
xlmr,ಚಕ್ರ,ಹೃದಯ ಚಕ್ರ ಸಕ್ರಿಯಗೊಳಿಸುತ್ತಾರೆ.,3,1,0.6037735849056604
xlmr,ಚಕ್ರ,ಕೃಷ್ಣನ ಚಕ್ರ ವೈಷ್ಣವ ಅಸ್ತ್ರ.,4,3,0.6037735849056604
xlmr,ಚಕ್ರ,ಸುದರ್ಶನ ಚಕ್ರ ಸಕಲವನ್ನು ನಾಶಮಾಡುತ್ತಿದೆ.,4,3,0.6037735849056604
xlmr,ಚಿತ್ರ,ಆ ಚಿತ್ರ ನೈಜತ್ವವನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.,1,0,0.0
xlmr,ಚಿತ್ರ,ಚಿತ್ರ ತೆಗೆಯಬೇಕೆ?,1,0,0.0
xlmr,ಚಿತ್ರ,ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ.,2,1,0.0
xlmr,ಚಿತ್ರ,ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ.,2,2,0.0
xlmr,ಚಿತ್ರ,ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ.,3,0,0.0
xlmr,ಚಿತ್ರ,ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ.,3,2,0.0
xlmr,ಚಿತ್ರ,ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ.,4,3,0.0
xlmr,ಚಿತ್ರ,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ.,4,0,0.0
xlmr,ಜಲ,ನೀರಾಯ ಜಲ ಕುಡಿಯಿರಿ.,1,2,0.07407407407407407
xlmr,ಜಲ,ಜಲ ಬೆಳಗಿನ ಬಿಸಿಯಲ್ಲಿ ಕುದಿಯುತ್ತಿದೆ.,1,1,0.07407407407407407
xlmr,ಜಲ,ತೈಲಜಲ ಸಲ್ಯ ಹೀಲಿಂಗಿಗೆ ಉಪಯುಕ್ತ.,2,0,0.07407407407407407
xlmr,ಜಲ,ಕಷಾಯ ಜಲ ಔಷಧ.,2,2,0.07407407407407407
xlmr,ಜಲ,ಜಲದಲ್ಲಿ ಬೆನ್ನು ಬದ್ಧವಾಗುತ್ತಿದೆ.,3,1,0.07407407407407407
xlmr,ಜಲ,ಜಲ ತೂರುವ ಹೀನಾಭಿಮಾನ ನಿವಾರಿಸುವುದು ಕಷ್ಟ.,3,1,0.07407407407407407
xlmr,ತೆಗೆ,ನನ್ನ ಹಸ್ತ ತೆಗೆ.,1,2,0.0
xlmr,ತೆಗೆ,ಹಾಕುಮಾರಿಗೆ ನಕ್ಷತ್ರ ತೆಗೆದು ಕೊಟ್ಟರು.,1,0,0.0
xlmr,ತೆಗೆ,ಹೋಗಿ ಮೇಲಿನ ತಗರು ತೆಗೆದುಕೊ.,2,0,0.0
xlmr,ತೆಗೆ,ಕಂಕುದಿಂದ ಮುಖ್ಯ ಕೆಲಸ ತೆಗೆದುಕೊ.,2,0,0.0
xlmr,ತೆಗೆ,ನೆಲದಿಂದ ಪಿಸು ತೆಗೆದುಕೊ.,3,0,0.0
xlmr,ತೆಗೆ,ಹೊರಗಿನ ಸೂಪ ತೆಗೆದುಕೊಂಡೆ.,3,1,0.0
xlmr,ತೆಗೆ,ಗುರಿನೆ ಬಾರಣವನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ.,4,3,0.0
xlmr,ತೆಗೆ,ಪ್ರಾಣಿ ಪರೀಕ್ಷೆಯಲ್ಲಿ ತೆಗೆದುಕೊಂಡರು.,4,1,0.0
xlmr,ಧರಣಿ,ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ.,1,1,-0.25
xlmr,ಧರಣಿ,ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ.,1,0,-0.25
xlmr,ಧರಣಿ,ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು.,2,2,-0.25
xlmr,ಧರಣಿ,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ.,2,1,-0.25
xlmr,ಧರಣಿ,ಪುಷ್ಪಗಳ ಧರಣಿ ಸುವಾಸಿತವಾಗಿರುತ್ತವೆ.,3,2,-0.25
xlmr,ಧರಣಿ,ಧರಣಿ ಇಳಿಪಡಿಸುವ ಪದಾರ್ಥ.,3,0,-0.25
xlmr,ಧರಿಸು,ಹೊಸ ಬಟ್ಟೆ ಧರಿಸಿ.,1,2,0.07407407407407407
xlmr,ಧರಿಸು,ಮುಖವಾಣಿ ಧರಿಸಿ.,1,2,0.07407407407407407
xlmr,ಧರಿಸು,ಅಸ್ತ್ರ ಧರಿಸಿ ಯುದ್ಧಕ್ಕೆ ಬಂದರು.,2,0,0.07407407407407407
xlmr,ಧರಿಸು,ಮಾದರಿ ಧರಿಸಿ ಹೋಗುತ್ತೆ.,2,2,0.07407407407407407
xlmr,ಧರಿಸು,ಭೂಮಿಯ ಸಾಕಷ್ಟು ಸೋಂಕುಗಳನ್ನು ಧರಿಸಿದೆ.,3,0,0.07407407407407407
xlmr,ಧರಿಸು,ಕುಟುಂಬದ ನೈತಿಕ ಧರಿಸುವುದು ಅವಶ್ಯಕ.,3,1,0.07407407407407407
xlmr,ನಕಲಿ,ಆ ನಕಲಿ ಚಿತ್ರ ಅಸಾಧಾರಣ ಸಿದ್ಧಿ.,1,2,0.07407407407407407
xlmr,ನಕಲಿ,ನಕಲಿ ಪಾಸ್‌ಪೋರ್ಟ್ ಜರಿಮಾನೆಗೆ ಸಾಧ್ಯ.,1,1,0.07407407407407407
xlmr,ನಕಲಿ,ನಕಲಿ ಸಾಕ್ಷ್ಯ ನ್ಯಾಯಾಲಯದ ವಿರುದ್ಧ ರಿವಾಜು.,2,0,0.07407407407407407
xlmr,ನಕಲಿ,ನಕಲಿ ವಾದ್ಯತೆ ನಿಖಿಲ ಎಲೆ ಪ್ರತಿ.,2,0,0.07407407407407407
xlmr,ನಕಲಿ,ನಕಲಿ ನಾಣ್ಯ ಸಾಕಷ್ಟು ಪರಿಚಿತವಾಗಿದೆ.,3,0,0.07407407407407407
xlmr,ನಕಲಿ,ನಕಲಿ ವಸ್ತುವನ್ನು ವಿಕ್ರಯ ಮಾಡುವುದು ಅಪರಾಧ.,3,1,0.07407407407407407
xlmr,ನೀಡ,ಪಕ್ಷಿಯ ನೀಡ ವೃಕ್ಷದ ಮೇಲೆ ಇದೆ.,1,2,0.07407407407407407
xlmr,ನೀಡ,ಸೂಕನಲ್ಲಿ ನೀಡ ತಿರಿಯುತ್ತೆ.,1,0,0.07407407407407407
xlmr,ನೀಡ,ಬೆಕೆಲೆಗಾಗಿ ಪರಿವಾರದ ನೀಡ ನಿರ್ಮಾಣ ಮಾಡಿದರು.,2,2,0.07407407407407407
xlmr,ನೀಡ,ಹೊಸ ನೀಡಕ್ಕೆ ಸ್ವಾಗತ.,2,1,0.07407407407407407
xlmr,ನೀಡ,ಪ್ರಭುನ ನೀಡ ನೀತಿಸೋಪಾನದಲ್ಲಿ.,3,0,0.07407407407407407
xlmr,ನೀಡ,ಆತ್ಮನ ಚಿರಂತನ ನೀಡ ಅತೀಂದ್ರಿಯ.,3,0,0.07407407407407407
xlmr,ನೀಲ,ನೀಲ ಆಕಾಶ ಮೋಹಕ.,1,2,0.07407407407407407
xlmr,ನೀಲ,ನೀಲ ವಸ್ತ್ರ ಸುಂದರವಾಗಿದೆ.,1,0,0.07407407407407407
xlmr,ನೀಲ,ನೀಲ ಸಂಜೆ ಬರುತ್ತಿದೆ.,2,1,0.07407407407407407
xlmr,ನೀಲ,ನೀಲ ಮೋಹೆ ಅಂಧಕಾರ.,2,1,0.07407407407407407
xlmr,ನೀಲ,ನೀಲ ಗಿಳಿ ಮಂಡಿರದ ಸ್ಕಂಧ.,3,1,0.07407407407407407
xlmr,ನೀಲ,ನೀಲ ರಂಗು ಧೌತ ಸಂಭೋಗ.,3,0,0.07407407407407407
xlmr,ನೇತೃತ್ವ,ಪಾರ್ಥ ಸೈನ್ಯವನ್ನು ನೇತೃತ್ವ ಮಾಡಿದರು.,1,1,-0.2962962962962963
xlmr,ನೇತೃತ್ವ,ಈ ಪ್ರಯೋಗದಲ್ಲಿ ನಾನು ನೇತೃತ್ವ ಮಾಡುತ್ತೇನೆ.,1,0,-0.2962962962962963
xlmr,ನೇತೃತ್ವ,ಶಿಲ್ಪಿ ಸಂಗೀತವನ್ನು ನೇತೃತ್ವ ಮಾಡಿದರು.,2,1,-0.2962962962962963
xlmr,ನೇತೃತ್ವ,ಆರ್ಕೆಸ್ಟ್ರಾ ನೇತೃತ್ವ ಮಾಡುವುದು ಕಾಂಡಕ್ಟರ್‌ನ ಕೆಲಸ.,2,0,-0.2962962962962963
xlmr,ನೇತೃತ್ವ,ಸಂಸ್ಥೆಯನ್ನು ನೇತೃತ್ವ ಮಾಡುವ ಜವಾಬ್ದಾರಿ.,3,2,-0.2962962962962963
xlmr,ನೇತೃತ್ವ,ಯುವಕನು ಕಂಪನಿ ನೇತೃತ್ವ ಮಾಡಿದನು.,3,0,-0.2962962962962963
xlmr,ನೋಡು,ಆಕಾಶ ನೋಡಿ.,1,3,0.33962264150943394
xlmr,ನೋಡು,ಒಟ್ಟಿಗೆ ಏನು ನೋಡುತ್ತೀಯ?,1,2,0.33962264150943394
xlmr,ನೋಡು,ಸಿನೆಮಾ ನೋಡುವುದು ಆನಂದ.,2,2,0.33962264150943394
xlmr,ನೋಡು,ಕಡಿಮೆ ಮಾರುಕಟ್ಟೆ ನೋಡೊಳ್ಳಿ.,2,0,0.33962264150943394
xlmr,ನೋಡು,ನನ್ನ ಸ್ನೇಹಿತ ನೀಡೆ ನೋಡುತ್ತೆ.,3,1,0.33962264150943394
xlmr,ನೋಡು,ರಾತ್ರಿ ನಿಮ್ಮನ್ನು ನೋಡುತ್ತೇನೆ.,3,1,0.33962264150943394
xlmr,ನೋಡು,ಸರಿಪೊತ್ತು ನೋಡಿ.,4,0,0.33962264150943394
xlmr,ನೋಡು,ಚಿಕಿತ್ಸಕ ರೋಗಿಯನ್ನು ನೋಡಿದರು.,4,0,0.33962264150943394
xlmr,ಪುಲ,ನದಿಯ ಮೇಲೆ ಹೊಸ ಪುಲ ನಿರ್ಮಾಣವಾಗುತ್ತಿದೆ.,1,2,0.4444444444444444
xlmr,ಪುಲ,ಪುಲ ದಾಟಿ ಹೋಗಿ.,1,0,0.4444444444444444
xlmr,ಪುಲ,ಬೆಸೆಯ ಪುಲ ಚೆಂದ ಸುವಾಸಿತವಾಗಿರುತ್ತವೆ.,2,0,0.4444444444444444
xlmr,ಪುಲ,ಹೂವಿನ ಪುಲ ನೋಡು.,2,0,0.4444444444444444
xlmr,ಪುಲ,ನವೆಂಬರ್ ಅವರಿಗೆ ಪುಲದ ತೂಟು ಕೊಟ್ಟರು.,3,1,0.4444444444444444
xlmr,ಪುಲ,ಮದುವೆಯ ಸಮಯದಲ್ಲಿ ಸುಂದರ ಪುಲದ ತೂಟು ನೋಡಲಾಯಿತು.,3,1,0.4444444444444444
xlmr,ಪೆರೆಲೆ,ಸೂರ್ಯನ ಪೆರೆಲೆ ಬೀಸುತ್ತಿದೆ.,1,2,-0.2962962962962963
xlmr,ಪೆರೆಲೆ,ಮರದ ಪೆರೆಲೆಯಲ್ಲಿ ಕುಳಿತುಕೊಂಡೆ.,1,0,-0.2962962962962963
xlmr,ಪೆರೆಲೆ,ನೀರಿನಲ್ಲಿ ಮುಖದ ಪೆರೆಲೆ ಕಾಣುತ್ತಿದೆ.,2,0,-0.2962962962962963
xlmr,ಪೆರೆಲೆ,ಕನ್ನಡ ಸಂಸ್ಕೃತಿಯ ಪೆರೆಲೆ ಲೋಕವೆಲ್ಲಾ ಪಡೆದೆ.,2,2,-0.2962962962962963
xlmr,ಪೆರೆಲೆ,ಆತನ ಮೇಲೆ ನಿರ್ದೋಷತೆಯ ಪೆರೆಲೆಯೂ ಇಲ್ಲ.,3,1,-0.2962962962962963
xlmr,ಪೆರೆಲೆ,ಪೆರೆಲೆ ಪರಿಚಯ ನಾಶ ಮಾಡುತ್ತದೆ.,3,2,-0.2962962962962963
xlmr,ಪ್ರಭು,ಸೋಮನಾಥ ತನ್ನ ಗುಲಾಮನ ಪ್ರಭು.,1,1,0.07407407407407407
xlmr,ಪ್ರಭು,ಪ್ರಭುವಿನ ಆದೇಶ ಪಾಲಿಸಲೇಬೇಕು.,1,0,0.07407407407407407
xlmr,ಪ್ರಭು,ಪ್ರಭುವೆ ನಮ್ಮನ್ನು ರಕ್ಷಿಸಿ.,2,2,0.07407407407407407
xlmr,ಪ್ರಭು,ಪ್ರಭುವಿನ ಕೃಪೆ ಅಪರಿಸೀಮ.,2,0,0.07407407407407407
xlmr,ಪ್ರಭು,ರವಿ ಪ್ರಭುಗಳು ಮುಖ್ಯ ಅಧಿಕಾರಿ.,3,1,0.07407407407407407
xlmr,ಪ್ರಭು,ಪ್ರಭುಗಳ ನಿರ್ದೇಶನ ನೋಡಿ ಕೆಲಸ ಮಾಡಿ.,3,1,0.07407407407407407
xlmr,ಪ್ರೀತಿ,ಪ್ರೀತಿ ಭಾರ್ಯೆ ಮನೆಯ ಸಿಂದೂರ.,1,2,0.4444444444444444
xlmr,ಪ್ರೀತಿ,ಪ್ರೀತಿ ಭಿತಿಜ ಅವನ ಪ್ರಿಯೆ.,1,1,0.4444444444444444
xlmr,ಪ್ರೀತಿ,ಪ್ರೀತಿ ವಿಷಯ ಶಾಸ್ತ್ರ.,2,0,0.4444444444444444
xlmr,ಪ್ರೀತಿ,ಪ್ರೀತಿ ಔಷಧ ಇಂದ್ರಿಯ.,2,0,0.4444444444444444
xlmr,ಪ್ರೀತಿ,ಪ್ರೀತಿ ಸುಗಂಧ ಹೃದಯ.,3,1,0.4444444444444444
xlmr,ಪ್ರೀತಿ,ಪ್ರೀತಿ ಸಂವಾದ ಆನಂದ.,3,1,0.4444444444444444
xlmr,ಬರು,ನಾಳೆ ನನ್ನ ಮನೆಗೆ ಬಾರು.,1,0,-0.18867924528301888
xlmr,ಬರು,ಕಡಿಮೆ ಕರೆ ಸುಗಿಕೊ ಬರುತ್ತೆ.,1,2,-0.18867924528301888
xlmr,ಬರು,ರೈಲು ಸಮಯಕ್ಕೆ ಬರುತ್ತಿದೆ.,2,1,-0.18867924528301888
xlmr,ಬರು,ಮೇಲಿನ ಸಿಡಿ ಹಠಾತ್ತು ಬರುತ್ತೆ.,2,2,-0.18867924528301888
xlmr,ಬರು,ಇದೇ ಆಕಸ್ಮಾತ್ ಘಟನೆ ಕಾಲೇ ಕಾಲೇ ಬರುತ್ತದೆ.,3,3,-0.18867924528301888
xlmr,ಬರು,ಶೀತ ಋತುವು ಬರುತ್ತಿದೆ.,3,1,-0.18867924528301888
xlmr,ಬರು,ಅವನು ಅರಸನಾಗಿ ಬರುತ್ತೀಯ.,4,1,-0.18867924528301888
xlmr,ಬರು,ನೀ ಶಕ್ತಿಶಾಳಿಯಾಗಿ ಬರಿ.,4,0,-0.18867924528301888
xlmr,ಬಾಗ,ಪುಷ್ಪಬಾಗ ಅತ್ಯಂತ ಸುಂದರವಾಗಿದೆ.,1,2,0.07407407407407407
xlmr,ಬಾಗ,ತರಕಾರಿ ಬಾಗದಲ್ಲಿ ಸೋಂಕು ಹಿಡಿದಿದೆ.,1,1,0.07407407407407407
xlmr,ಬಾಗ,ಸಂಪತ್ತಿನಿಂದ ಪ್ರತಿಯೊಬ್ಬರ ಬಾಗ ನಿರ್ಧರಿಸಿ.,2,0,0.07407407407407407
xlmr,ಬಾಗ,ನನ್ನ ಬಾಗ ನಿಗದಿತವಾಗಿ ಇದೆ.,2,0,0.07407407407407407
xlmr,ಬಾಗ,ಬೆಂಗಳೂರು ಉತ್ತರ ಬಾಗದಲ್ಲಿ ಸ್ಥಿತವಾಗಿದೆ.,3,1,0.07407407407407407
xlmr,ಬಾಗ,ನಗರದ ಪಶ್ಚಿಮ ಬಾಗ ಸಾಕಷ್ಟು ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.,3,0,0.07407407407407407
xlmr,ಬೀಜ,ತರಕಾರಿಯ ಬೀಜ ಲೋಳೆ.,1,1,0.07407407407407407
xlmr,ಬೀಜ,ಬೀಜ ಬಿತ್ತಬೇಕು ವರ್ಷ ಸುಮಾರು.,1,2,0.07407407407407407
