pair_id,target_word,pos,sentence1,sentence2,synset_1,synset_2,label,split
v2_00011,ಹೇಳು,verb,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೇಳು ಎಂಬ ಪದದ ಅರ್ಥ ಮೌಖಿಕವಾಗಿ ಯಾವುದೋ ಒಂದನ್ನು ವರ್ಣನೆ ಮಾಡುವ ಪ್ರಕ್ರಿಯೆ,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೇಳು ಎಂಬ ಪದದ ಅರ್ಥ ಕವಿತೆ, ಗಜಲ್ ಮುಂತಾದವುಗಳನ್ನು ಹಾಡುವ ಪ್ರಕ್ರಿಯೆ",13369,13373,0,train
v2_00012,ಅಧಿಕೃತ,adjective,ಅಧಿಕೃತ ಕುರಿತು ಮಾತು ಮತ್ತು ನಿರ್ದೇಶನಗಳಲ್ಲಿ ತನಗೆ ಇರುವ ಅಧಿಕಾರವನ್ನು ಬಳಸಿಕೊಳ್ಳುವ ಗುಣ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಅಧಿಕೃತ ಎಂಬ ಪದದ ಅರ್ಥ ಮಾತು ಮತ್ತು ನಿರ್ದೇಶನಗಳಲ್ಲಿ ತನಗೆ ಇರುವ ಅಧಿಕಾರವನ್ನು ಬಳಸಿಕೊಳ್ಳುವ ಗುಣ,1810,1810,1,train
v2_00013,ಕಠಿಣವಾದಂತಹ,adjective,"ಕಠಿಣವಾದಂತಹ ಕುರಿತು ಯಾವುದೇ ವಸ್ತು ಸಂಗತಿಯನ್ನು ಪಳಗಿಸಲು, ಸಡಿಲಿಸಲು, ಅಲುಗಾಡಿಸಲು, ಒಡೆಯಲು ಮುಂತಾದ ಕ್ರಿಯೆಗಳು ಸಾಧ್ಯವಾಗದೇ ಇರುವ ಸ್ಥಿತಿ","ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಠಿಣವಾದಂತಹ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದೇ ವಸ್ತು ಸಂಗತಿಯನ್ನು ಪಳಗಿಸಲು, ಸಡಿಲಿಸಲು, ಅಲುಗಾಡಿಸಲು, ಒಡೆಯಲು ಮುಂತಾದ ಕ್ರಿಯೆಗಳು ಸಾಧ್ಯವಾಗದೇ ಇರುವ ಸ್ಥಿತಿ",3194,3194,1,train
v2_00014,ಸಮಯ,noun,ಸಮಯ ಕುರಿತು ಸಂಸ್ಕೃತಿಯ ಇತಿಹಾಸದಲ್ಲಿ ಆ ಕಾಲಮಾನದ ಸಮಯ ಮತ್ತು ಅವಸ್ಥೆ ಮೊದಲಾದ ದೃಷ್ಟಿಯಿಂದ ನಮ್ಮ ಒಂದು ಪರಿಭಾಷೆ ಅಥವಾ ಮಹತ್ವಪೂರ್ಣ ಸ್ಥಾನವನ್ನು ಇಡಲಾಗುತ್ತದೆ,ನನಗೆ ಆ ಕೆಲಸ ಮಾಡಲು ಸಮಯವಿಲ್ಲ.,28346,878,0,train
v2_00015,ಕಠಿಣ,adjective,ಅವನು ಹಗ್ಗಕ್ಕೆ ಕಠಿಣವಾದ ಅಥವಾ ಬಿಚ್ಚಲಾಗದ ಗಂಟನ್ನು ಹಾಕಿದ್ದಾನೆ.,ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಠಿಣ ಎಂಬ ಪದದ ಅರ್ಥ ತುಂಬಾ ಕಠೋರ ಅಥವಾ ಬಿರುಸಾದಂತಹ,13388,13388,1,train
v2_00016,ಮುರಿ,verb,ಈ ವಾಕ್ಯದಲ್ಲಿ ಮುರಿ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದಾದರು ವಸ್ತು ಒಡೆದು ಹೋಗು,ಮುರಿ ಕುರಿತು ಯಾವುದೋ ಒಂದು ತುಂಬಿ ಹೋದ ಕಾರಣ ಅದರ ಆವರಣ ಹೊಡೆದು ಹೋಗುವ ಪ್ರಕ್ರಿಯೆ,10860,19122,0,train
v2_00017,ಹೊಡೆ,verb,ಹೊಡೆ ಕುರಿತು ಸರಪಳಿ ಅಥವಾ ಗಟ್ಟಿಯಾದ ವಸ್ತುಗಳು ಮೇಲೆ ಬಿದ್ದಾಗ ಹೊಡಿದು ಹೋಗುವ ಪ್ರಕ್ರಿಯೆ,ದೇವಾಲಯದಲ್ಲಿ ಘಂಟೆ ಹೊಡೆಯುತ್ತಿದ್ದಾರೆ.,19118,9582,0,train
v2_00018,ಸಮಯ,noun,ಸಮಯ ಕುರಿತು ಯಾವುದೇ ವಿಶೇಷ ಸಮಯ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಸಮಯ ಎಂಬ ಪದದ ಅರ್ಥ ಸಮಯದ ಕಳೆಯುತಿದಂತೆ ಯಾರೋ ಒಬ್ಬರ ಜೀವನ ಕೂಡ ಬದಲಾಗುತ್ತಾ ಹೋಗುತ್ತದೆ,20521,27698,0,train
v2_00019,ಒಳ್ಳೆಯ,adjective,ಒಳ್ಳೆಯ ಕುರಿತು ಬೇರೆಯ ದಿನ ಸಂಭವಿಸುವ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಒಳ್ಳೆಯ ಎಂಬ ಪದದ ಅರ್ಥ ಬೇರೆಯ ದಿನ ಸಂಭವಿಸುವ,18101,18101,1,train
v2_00020,ದಂಡ,noun,"ಆಂಗ್ಲ ಸಾಮಾನ್ಯ ಕಾನೂನಿನಲ್ಲಿ ಪ್ರಸ್ತುತ, ಕೆಳಮಟ್ಟದ ದಂಡನೀಯ ಅಪರಾಧಗಳಿಗೆ ತುಲನಾತ್ಮಕವಾಗಿ ಸಣ್ಣ ದಂಡಗಳನ್ನು ಸ್ಥಳದಲ್ಲೇ ಅಥವಾ ಸಮುದಾಯ ಸೇವಾ ಆದೇಶಗಳ ಜೊತೆಗೆ ಬಳಸಲಾಗುತ್ತದೆ",ಈ ವಾಕ್ಯದಲ್ಲಿ ದಂಡ ಎಂಬ ಪದದ ಅರ್ಥ ಒಂದು ಪ್ರಕಾರದ ವ್ಯಾಯಾಮ ಅದು ಕೈಯಿಯ ತೋಳು/ರಡ್ಡೆಯ ಬಲದಿಂದ ಬೋರಲು ಬಿದ್ದು ಮಾಡುವ ವ್ಯಾಯಾಮ,3580,6073,0,train
v2_00021,ಹಾಕು,verb,ಹಾಕು ಕುರಿತು ಖಾಲಿ ಇರುವ ಜಾಗವನ್ನು ಪೂರ್ಣಮಾಡುವುದಕ್ಕಾಗಿ ಅದರಲ್ಲಿ ಯಾವುದಾದರು ವಸ್ತುವನ್ನು ತುಂಬುವ ಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹಾಕು ಎಂಬ ಪದದ ಅರ್ಥ ಖಾಲಿ ಇರುವ ಜಾಗವನ್ನು ಪೂರ್ಣಮಾಡುವುದಕ್ಕಾಗಿ ಅದರಲ್ಲಿ ಯಾವುದಾದರು ವಸ್ತುವನ್ನು ತುಂಬುವ ಕ್ರಿಯೆ,7389,7389,1,train
v2_00022,ಕಠಿಣವಾದ,adjective,ಈ ವಾಕ್ಯದಲ್ಲಿ ಕಠಿಣವಾದ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದು ಸುಲಭವಾಗಿ ಅಥವಾ ಸಹಜತೆಯಿಂದ ತಿಳಿದುಕೊಳ್ಳಲಾಗುವುದಿಲ್ಲವೋ,ಕಠಿಣವಾದ ಕುರಿತು ಒಂದು ಇನ್ನೊಂದಕ್ಕೆ ಸೇರಿಸಿ ಗಂಟು ಹಾಕಿಕೊಂಡಿರುವಂತಹ,13855,26844,0,train
v2_00023,ಗಂಟು,noun,ಗಂಟು ಕುರಿತು ಶರೀರದಲ್ಲಿ ರಸವನ್ನು ಸ್ರವಿಸುವ ಗಡ್ಡೆಯಂತಿರುವ ಕೆಲವು ಅಂಗಗಳು,ಈ ವಾಕ್ಯದಲ್ಲಿ ಗಂಟು ಎಂಬ ಪದದ ಅರ್ಥ ಶರೀರದಲ್ಲಿ ರಸವನ್ನು ಸ್ರವಿಸುವ ಗಡ್ಡೆಯಂತಿರುವ ಕೆಲವು ಅಂಗಗಳು,13128,13128,1,train
v2_00024,ನಿಲ್ಲಿಸು,verb,ಈ ವಾಕ್ಯದಲ್ಲಿ ನಿಲ್ಲಿಸು ಎಂಬ ಪದದ ಅರ್ಥ ಬಂಧನಗೊಳಿಸುವುದು ಅಥವಾ ನಿರ್ಭಂದವನ್ನು ಹೇರುವುದು,ಕಾವಲುಗಾನು ಕಾರನ್ನು ಬಂಗಲೆ ಹೊರಗೇ ನಿಲ್ಲಿಸುವಂತೆ ಹೇಳಿದನು.,10746,9925,0,train
v2_00025,ಹರಡು,verb,ಹರಡು ಕುರಿತು ನಾಲ್ಕು ಕಡೆಯೂ ಹರಡುವುದು,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹರಡು ಎಂಬ ಪದದ ಅರ್ಥ ನಾಲ್ಕು ಕಡೆಯೂ ಹರಡುವುದು,5345,5345,1,train
v2_00026,ಜ್ಞಾನ,noun,ಜ್ಞಾನ ಕುರಿತು ಯಾವುದೇ ಮಾತು ಇತ್ಯಾದಿಗಳನ್ನು ಚೆನ್ನಾಗಿ ತಿಳಿಸುವ ಶಕ್ತಿ ಅಥವಾ ಅದರ ಬಗ್ಗೆ ಚೆನ್ನಾಗಿ ತಿಳಿದಿರುವುದು,ಜ್ಞಾನ ಕುರಿತು ಬುದ್ಧಿ/ಜ್ಞಾನವನ್ನು ನೀಡುವ ವೃತ್ತಿ ಅಥವಾ ಶಕ್ತಿ,13621,3382,0,train
v2_00027,ದಂಡ,noun,ನಾಗರಿಕ ಕಾನೂನು ಕ್ರಿಯೆಗಳಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸಲಾದ ಒಂದು ಸಮಾನಾರ್ಥಕ ಪದವೆಂದರೆ ಅರ್ಥದಂಡ,ಈ ವಾಕ್ಯದಲ್ಲಿ ದಂಡ ಎಂಬ ಪದದ ಅರ್ಥ ಒಂದು ಪ್ರಕಾರದ ವ್ಯಾಯಾಮ ಅದು ಕೈಯಿಯ ತೋಳು/ರಡ್ಡೆಯ ಬಲದಿಂದ ಬೋರಲು ಬಿದ್ದು ಮಾಡುವ ವ್ಯಾಯಾಮ,3315,6073,0,train
v2_00028,ವರ್ಗ,noun,ವರ್ಗ ಕುರಿತು ಜನರ ಸಮೂಹ ಒಂದು ವಿಶಿಷ್ಟವಾದ ಸ್ನಾನ ಅಥವಾ ಕ್ಷೇತ್ರದಲ್ಲಿ ಇರುತ್ತದೆ,"ವರ್ಗ ಕುರಿತು ಶರೀರ ಅಥವಾ ದೇಹದ ಆಧಾರದ ಮೇಲೆ ಜೀವಿಗಳು, ಪದಾರ್ಥ ಇತ್ಯಾದಿ ಬೇರೆ ಬೇರ ವರ್ಗ ಅಥವಾ ವಿಭಾಗ ಮಾಡಿರುವುದು",28432,37572,0,train
v2_00029,ಮುಚ್ಚು,verb,ಮುಚ್ಚು ಕುರಿತು ಯಾವುದಾದರು ವಸ್ತು ಒಳಗಿನಿಂದ ಹೊರಗೆ ಅಥವಾ ಹೊರಗಿನಿಂದ ಒಳಗೆ ಹೋಗುವುದಕ್ಕೆ ಆಗದಂತೆ ಮಾಡುವಂತಹ ಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಮುಚ್ಚು ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದಾದರು ವಸ್ತು ಒಳಗಿನಿಂದ ಹೊರಗೆ ಅಥವಾ ಹೊರಗಿನಿಂದ ಒಳಗೆ ಹೋಗುವುದಕ್ಕೆ ಆಗದಂತೆ ಮಾಡುವಂತಹ ಕ್ರಿಯೆ,35504,35504,1,train
v2_00030,ಕಟ್ಟು,noun,ನನ್ನ ಕನ್ನಡಕದ ಕಟ್ಟು ಚೌಕಾಕಾರವಾಗಿದೆ.,ಕಟ್ಟು ಕುರಿತು ಕಟ್ಟುವ ಕೆಲಸ,13004,23565,0,train
v2_00031,ಸಮಯ,noun,ಈ ವಾಕ್ಯದಲ್ಲಿ ಸಮಯ ಎಂಬ ಪದದ ಅರ್ಥ (ವ್ಯಾಕರಣದಲ್ಲಿ) ಕ್ರಿಯೆಯ ರೂಪದಿಂದ ಆಗುವ ಅಥವಾ ಮಾಡುವ ಸಮಯದ ಜ್ಞಾನವಾಗಿರುತ್ತದೆ,ಸಮಯ ಕುರಿತು ಸಮಯದ ಕಳೆಯುತಿದಂತೆ ಯಾರೋ ಒಬ್ಬರ ಜೀವನ ಕೂಡ ಬದಲಾಗುತ್ತಾ ಹೋಗುತ್ತದೆ,25495,27698,0,train
v2_00032,ಕಠಿಣ,adjective,ಕಠಿಣ ಕುರಿತು ತುಂಬಾ ಕಠೋರ ಅಥವಾ ಬಿರುಸಾದಂತಹ,ಮನೆಯ ಆರ್ಥಿಕ ಸ್ಥಿತಿ ಹಾಳಾಗುತ್ತಿರುವುದರಿಂದ ನಮ್ಮ ಜೀವನ ಕಠಿಣವಾಗಿ ಹೋಗುತ್ತಿದೆ.,13388,9141,0,train
v2_00033,ವರ್ಗ,noun,ನಾಲ್ಕರ ವರ್ಗ ಎರಡು.,ವರ್ಗ ಕುರಿತು ಗಣಿತದಲ್ಲಿ ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಮೊತ್ತ,37603,37603,1,train
v2_00034,ಬರು,verb,ಬರು ಕುರಿತು ಉತ್ಪನ್ನವಾಗು ಅಥವಾ ಬರುವಂತಹ ಪ್ರಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಬರು ಎಂಬ ಪದದ ಅರ್ಥ ಉತ್ಪನ್ನವಾಗು ಅಥವಾ ಬರುವಂತಹ ಪ್ರಕ್ರಿಯೆ,12505,12505,1,train
v2_00035,ಗಂಟು,noun,ಗಂಟು ಕುರಿತು ಶರೀರ ಭಾಗಗಳ ನಡುವಿನ ಸಂಧಿ ಅಥವಾ ಜೋಡಣೆಯಿಂದ ಬಗ್ಗಿಸುತ್ತದೆ ಅಥವಾ ಹೊರಳುವುದು,ಈ ವಾಕ್ಯದಲ್ಲಿ ಗಂಟು ಎಂಬ ಪದದ ಅರ್ಥ ಶರೀರ ಭಾಗಗಳ ನಡುವಿನ ಸಂಧಿ ಅಥವಾ ಜೋಡಣೆಯಿಂದ ಬಗ್ಗಿಸುತ್ತದೆ ಅಥವಾ ಹೊರಳುವುದು,5004,5004,1,train
v2_00036,ತೆಗೆ,verb,"ತೆಗೆ ಕುರಿತು ಕಲೆ, ಚುಕ್ಕೆ ಮೊದಲಾದವುಗಳನ್ನು ಸ್ವಚ್ಛ ಮಾಡುವುದು","ಈ ವಾಕ್ಯದಲ್ಲಿ ತೆಗೆ ಎಂಬ ಪದದ ಅರ್ಥ ಕಲೆ, ಚುಕ್ಕೆ ಮೊದಲಾದವುಗಳನ್ನು ಸ್ವಚ್ಛ ಮಾಡುವುದು",11846,11846,1,train
v2_00037,ಹೇಳು,verb,ಹೇಳು ಕುರಿತು ಯಾವುದಾದರೂ ವಿಷಯವನ್ನು ತಿಳಿಯಪಡಿಸುವ ಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ಹೇಳು ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದಾದರೂ ವಿಷಯವನ್ನು ತಿಳಿಯಪಡಿಸುವ ಕ್ರಿಯೆ,7125,7125,1,train
v2_00038,ವರ್ಗ,noun,ವರ್ಗ ಕುರಿತು ಅಧಿಕಾರಿ ಅಥವಾ ಕಾರ್ಯಕರ್ತರ ಒಂದು ಸ್ಥಾನ ಅಥವಾ ವಿಭಾಗದಿಂದ ಬೇರೆ ಸ್ಥಾನ ಅಥವಾ ವಿಭಾಗಕ್ಕೆ ವರ್ಗ ಮಾಡುವ ಕಳುಹಿಸುವ ಕ್ರಿಯೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ವರ್ಗ ಎಂಬ ಪದದ ಅರ್ಥ ಅಧಿಕಾರಿ ಅಥವಾ ಕಾರ್ಯಕರ್ತರ ಒಂದು ಸ್ಥಾನ ಅಥವಾ ವಿಭಾಗದಿಂದ ಬೇರೆ ಸ್ಥಾನ ಅಥವಾ ವಿಭಾಗಕ್ಕೆ ವರ್ಗ ಮಾಡುವ ಕಳುಹಿಸುವ ಕ್ರಿಯೆ,8463,8463,1,train
v2_00039,ಹಾನಿ,noun,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಹಾನಿ ಎಂಬ ಪದದ ಅರ್ಥ ಯಾವುದಾದರು ವಸ್ತು, ಪರಿಸ್ಥಿತಿ ಮೊದಲಾದವುಗಳ ಹಿಡಿತ ಅಥವಾ ಹೊಡೆತಕ್ಕೆ ಸಿಕ್ಕಿಕೊಳುವ ಕ್ರಿಯೆ","ಭೌತಿಕ ವಸ್ತುಗಳ ಹಾನಿಯೆಂದರೆ ""ಅವು ಮುರಿಯುವುದಕ್ಕೆ ಕಾರಣವಾಗುವ ಕ್ರಮವಾಗಿ ಹೆಚ್ಚಾಗುವ ಭೌತಿಕ ಪ್ರಕ್ರಿಯೆ"", ಮತ್ತು ಗೋಚರವಾಗದಿದ್ದರೂ, ರಚನೆಯನ್ನು ದುರ್ಬಲವಾಗಿಸುವ ಯಾಂತ್ರಿಕ ಒತ್ತಡವನ್ನು ಒಳಗೊಳ್ಳುತ್ತದೆ",11534,11534,1,train
v2_00040,ದುಃಖ,noun,ದುಃಖದಲ್ಲಿ ಇರುವಾಗಲೆ ದೇವರ ನೆನಪಾಗುವುದು,"ಅದೇ ಸಮಯದಲ್ಲಿ ""ದುಃಖ — ಆದರೆ ಅಸಂತೋಷವಲ್ಲ — ತೊರೆತದ ಒಂದು ಹಂತವನ್ನು ಸೂಚಿಸುತ್ತದೆ",1403,1403,1,train
v2_00041,ಹರಡು,verb,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಹರಡು ಎಂಬ ಪದದ ಅರ್ಥ ಹಾಸಿಗೆ, ಬಟ್ಟೆ ಮೊದಲಾದವುಗಳನ್ನು ನೆಲ ಅಥವಾ ಯಾವುದಾದರು ಸಮತಲದ ಮೇಲೆ ವಿಸ್ತಾರವಾಗಿ ಹರವುದು",ಹರಡು ಕುರಿತು ನಾಲ್ಕು ಕಡೆಯೂ ಹರಡುವುದು,4604,5345,0,train
v2_00042,ಮಾಡು,verb,ನೀವು ಒಂದು ದೊಡ್ಡ ತಪ್ಪನ್ನೇ ಮಾಡುತ್ತಿದ್ದೀರ.,ಈ ವಾಕ್ಯದಲ್ಲಿ ಮಾಡು ಎಂಬ ಪದದ ಅರ್ಥ ಹುದುಗು ಬರುವಂತೆ ಮಾಡುವ ಪ್ರಕ್ರಿಯೆ,27521,27599,0,train
v2_00043,ಮಾಡು,verb,ಒಳ್ಳೆಯ ಸಾರಾಯಿ ಮಾಡಲು ಹಣ್ಣುಗಳ ರಸವನ್ನು ಹೆಚ್ಚು ಸಮಯದ ವರೆಗೂ ಕಿಣ್ವಕರಣ ಮಾಡುತಾರೆ.,ಮಾಡು ಕುರಿತು ಹುದುಗು ಬರುವಂತೆ ಮಾಡುವ ಪ್ರಕ್ರಿಯೆ,27599,27599,1,train
v2_00044,ಸ್ಥಿರವಾದಂತಹ,adjective,ಈ ವಾಕ್ಯದಲ್ಲಿ ಸ್ಥಿರವಾದಂತಹ ಎಂಬ ಪದದ ಅರ್ಥ ಸಮನಾಗಿರುವಂತ ಅಥವಾ ಕೆಲವನ್ನು ಮಾಡುವುಂತಹ ಅಥವಾ ನಿರಂತರವಾಗಿ ಮಾಡಲ್ಪಟ್ಟ,ಸ್ಥಿರವಾದಂತಹ ಕುರಿತು ಯಾವುದರಲ್ಲಿ ತರಂಗಗಳು ಏಳುತ್ತಿಲ್ಲವೋ,15503,26361,0,train
v2_00045,ದುಃಖ,noun,ದುಃಖ ಕುರಿತು ಬೇಸರ ಪಡುವ ಅಥವಾ ಯಾವುದೇ ಕೆಲಸದಲ್ಲಿ ಮನಸ್ಸು ಮಾಡದೆ ಇರುವ ಅವಸ್ಥೆ ಅಥವಾ ಭಾವನೆ,ಈ ವಾಕ್ಯದಲ್ಲಿ ದುಃಖ ಎಂಬ ಪದದ ಅರ್ಥ ಬೇಸರ ಪಡುವ ಅಥವಾ ಯಾವುದೇ ಕೆಲಸದಲ್ಲಿ ಮನಸ್ಸು ಮಾಡದೆ ಇರುವ ಅವಸ್ಥೆ ಅಥವಾ ಭಾವನೆ,2174,2174,1,train
v2_00046,ಸಮಯ,noun,ನನಗೆ ಆ ಕೆಲಸ ಮಾಡಲು ಸಮಯವಿಲ್ಲ.,"ಈ ವಾಕ್ಯದಲ್ಲಿ ಸಮಯ ಎಂಬ ಪದದ ಅರ್ಥ ನಿಮಿಷ, ಗಂಟೆ, ದಿನ, ವಾರ, ತಿಂಗಳು ಮುಂತಾದವುಗಳ ಗಣನೆಯನ್ನು ಗುರುತಿಸುವುದು",878,878,1,train
v2_00047,ಕಟ್ಟು,noun,ಲೆಕ್ಕಪಾಲಕನು ಕಾಗದಗಳನ್ನು ಒಟ್ಟು ಗೂಡಿಸಿ ಕಟ್ಟುತ್ತಿದ್ದಾನೆ.,ಕಟ್ಟು ಕುರಿತು ಹೊತ್ತುಕೊಂಡು ಹೋಗಲು ಅನುಕೂಲಿಸುವಂತೆ ಸುತ್ತಿದ ಅಥವಾ ಒಟ್ಟಿಗೆ ಕಟ್ಟಿದ ವಸ್ತುಗಳು,11058,12459,0,train
