model,target_word,sentence,true_sense,rank,mrr_component
mbert,ಚಿತ್ರ,ಸಮಾಜದಲ್ಲಿ ಅನೇಕ ಚಿತ್ರ ಜನತೆ ವಾಸ ಮಾಡುತ್ತಾರೆ.,2,4,0.25
mbert,ಚಿತ್ರ,ಈ ಕಾದಂಬರಿಯು ಚಿತ್ರವಾದ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿದೆ.,2,4,0.25
mbert,ಚಿತ್ರ,ಆ ಚಿತ್ರ ಘಟನೆ ಕೇಳಲು ಅದ್ಭುತವಾಗಿದೆ.,3,1,1.0
mbert,ಚಿತ್ರ,ಚಿತ್ರವಾದ ಸಂಗತಿ ಸಂಭವಿಸಿದೆ.,3,1,1.0
mbert,ಚಿತ್ರ,ರವಿಶಂಕರ ಸುಂದರ ಚಿತ್ರ ಸೃಷ್ಟಿಸುತ್ತಾರೆ.,4,4,0.25
mbert,ಚಿತ್ರ,ಈ ಚಿತ್ರ ಶಿಲ್ಪ ಅಸಾಧಾರಣ ಕಾದಂಬರಿ.,4,2,0.5
mbert,ಕಾಲ,ಕಾಲ ದ್ರುತವಾಗಿ ಹಾದುಹೋಗಿ.,1,2,0.5
mbert,ಕಾಲ,ಮಹಾಭಾರತದ ಕಾಲದಲ್ಲಿ ಅನೇಕ ಯುದ್ಧ ನಡೆದವು.,1,1,1.0
mbert,ಕಾಲ,ಅವನ ಎಡ ಕಾಲು ಮುರಿದಿದೆ.,2,3,0.3333333333333333
mbert,ಕಾಲ,ಕಾಲು ನೋವಾಗುತ್ತಿದೆ.,2,3,0.3333333333333333
mbert,ಕಾಲ,ಬೇಸಿಗೆ ಕಾಲ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತವೆ.,5,1,1.0
mbert,ಕಾಲ,ಮುಂಗಾರು ಕಾಲ ಮೂವೆತ್ತೆ ಅಂದಾಗೆ ಬರುತ್ತದೆ.,5,1,1.0
mbert,ಧರಣಿ,ಧರಣಿ ಭ್ರಮಿಸುತ್ತಾ ಇರುತ್ತದೆ.,1,1,1.0
mbert,ಧರಣಿ,ಧರಣಿಯ ಮೇಲೆ ಮಿಲಿಯನ ಜನ ವಾಸ ಮಾಡುತ್ತಾರೆ.,1,1,1.0
mbert,ಧರಣಿ,ಈ ಕೋಟೆಯ ಧರಣಿ ಕಲ್ಲಿನಿಂದ ಕೆತ್ತಿರುವುದು.,2,3,0.3333333333333333
mbert,ಧರಣಿ,ಮನೆಯ ಧರಣಿ ಬಲಾಗಿರುವುದು ಅಗತ್ಯ.,2,3,0.3333333333333333
mbert,ಚಕ್ರ,ರಥದ ಚಕ್ರ ಭಾರೀ ಮರದಿಂದ ತಯಾರಾಗಿದೆ.,1,4,0.25
mbert,ಚಕ್ರ,ಮೊಟೊರಿನ ಚಕ್ರ ತಿರುಗುತ್ತಿದೆ.,1,4,0.25
mbert,ಚಕ್ರ,ಜೀವನದ ಚಕ್ರ ಮುಂದುವರಿದುಕೊಂಡಿದೆ.,2,2,0.5
mbert,ಚಕ್ರ,ಋತುಗಳ ಚಕ್ರ ಪುನರಾವೃತ್ತಿಯಾಗುತ್ತಿದೆ.,2,1,1.0
mbert,ಚಕ್ರ,ಯೋಗದಲ್ಲಿ ಆಚ್ಠ ಚಕ್ರಗಳು ಮುಖ್ಯ.,3,1,1.0
mbert,ಚಕ್ರ,ಹೃದಯ ಚಕ್ರ ಸಕ್ರಿಯಗೊಳಿಸುತ್ತಾರೆ.,3,1,1.0
mbert,ಚಕ್ರ,ಕೃಷ್ಣನ ಚಕ್ರ ವೈಷ್ಣವ ಅಸ್ತ್ರ.,4,2,0.5
mbert,ಚಕ್ರ,ಸುದರ್ಶನ ಚಕ್ರ ಸಕಲವನ್ನು ನಾಶಮಾಡುತ್ತಿದೆ.,4,2,0.5
mbert,ಕರಣ,ಈ ಘಟನೆಯ ಕರಣ ಎಂದರೆ ನಿರ್ಲಕ್ಷ್ಯತೆ.,1,1,1.0
mbert,ಕರಣ,ಅನಸ್ಥೆಯ ಕರಣ ಕಾರ್ಯಭಾರ ಹೆಚ್ಚು.,1,2,0.5
mbert,ಕರಣ,ಶಿಕ್ಷಣ ಜೀವನ ಸುಧಾರಣೆಯ ಕರಣ.,2,3,0.3333333333333333
mbert,ಪ್ರಭು,ಸೋಮನಾಥ ತನ್ನ ಗುಲಾಮನ ಪ್ರಭು.,1,2,0.5
mbert,ಪ್ರಭು,ಪ್ರಭುವಿನ ಆದೇಶ ಪಾಲಿಸಲೇಬೇಕು.,1,1,1.0
mbert,ಪ್ರಭು,ಪ್ರಭುವೆ ನಮ್ಮನ್ನು ರಕ್ಷಿಸಿ.,2,2,0.5
mbert,ಪ್ರಭು,ಪ್ರಭುವಿನ ಕೃಪೆ ಅಪರಿಸೀಮ.,2,1,1.0
mbert,ಭಕ್ತ,ಕೃಷ್ಣನ ಭಕ್ತರು ಕೋವಿಲಿಗೆ ಸೆರೆದುಬಂದರು.,1,2,0.5
mbert,ಭಕ್ತ,ಆ ಗುರುವಿನ ಭಕ್ತ ತುಂಬಾ ಆಸ್ಥೆಗಳುದ್ದ.,1,1,1.0
mbert,ಭಕ್ತ,ಅರಸನ ಭಕ್ತರು ನಿರ್ದೇಶ ಪಾಲಿಸಿದರು.,2,3,0.3333333333333333
mbert,ಭಕ್ತ,ಭಕ್ತರನ್ನು ಸಮ್ಮಾನಿಸಿ.,2,3,0.3333333333333333
mbert,ರಸ,ಆ ಅನ್ನದ ರಸ ಅತ್ಯಂತ ಸುಮಾರು.,1,3,0.3333333333333333
mbert,ರಸ,ಲೆಮೆನ್ ರಸ ಅಮ್ಲೀಯವಾಗಿರುತ್ತದೆ.,1,2,0.5
mbert,ರಸ,ಹಣ್ಣಿನ ರಸ ಮಿಠಾಗಿರುತ್ತದೆ.,2,3,0.3333333333333333
mbert,ರಸ,ಗೆಜ್ಜಿನ ರಸ ಸೋಯಿ ರಸ ಹೊಂದಿಕೆ.,2,5,0.2
mbert,ರಸ,ಕವಿತೆಯಲ್ಲಿ ಭಿನ್ನ ರಸಗಳು ಇವೆ.,3,1,1.0
mbert,ರಸ,ಶೃಂಗಾರ ರಸ ಸಂಗೀತದಲ್ಲಿ ಪ್ರಕಾಶಿತವಾಗುತ್ತದೆ.,3,2,0.5
mbert,ಅರ್ಥ,ಈ ಮಾತುಗಳ ಅರ್ಥ ತೃಪ್ತಿದಾಯಕವಾಗಿದೆ.,1,2,0.5
mbert,ಅರ್ಥ,ಪದದ ಅರ್ಥ ತಿಳಿಸಿ.,1,1,1.0
mbert,ಅರ್ಥ,ಸಭೆ ಅರ್ಥ ಸೂಚಿಸಿದೆ.,2,3,0.3333333333333333
mbert,ಅರ್ಥ,ಅರ್ಥ ಪಾಲಿಸುವುದು ಅವಶ್ಯಕ.,2,1,1.0
mbert,ಅರ್ಥ,ಯುವಕನ ಅರ್ಥ ಉನ್ನತಿಯಿತು.,3,2,0.5
mbert,ಅರ್ಥ,ಈ ಪ್ರಯೋಗದ ಅರ್ಥ ತಪ್ಪಾದ ವಿಷಯ ಪಕ್ಷೀಕರಿಸುವುದು.,3,1,1.0
mbert,ನೀಡ,ಪಕ್ಷಿಯ ನೀಡ ವೃಕ್ಷದ ಮೇಲೆ ಇದೆ.,1,1,1.0
mbert,ನೀಡ,ಸೂಕನಲ್ಲಿ ನೀಡ ತಿರಿಯುತ್ತೆ.,1,1,1.0
mbert,ನೀಡ,ಬೆಕೆಲೆಗಾಗಿ ಪರಿವಾರದ ನೀಡ ನಿರ್ಮಾಣ ಮಾಡಿದರು.,2,2,0.5
mbert,ನೀಡ,ಹೊಸ ನೀಡಕ್ಕೆ ಸ್ವಾಗತ.,2,2,0.5
mbert,ರಸ,ದೇವತೆಗಳು ಅಮೃತ ರಸ ಕುಡಿದರು.,4,1,1.0
mbert,ತೆಗೆ,ನನ್ನ ಹಸ್ತ ತೆಗೆ.,1,2,0.5
mbert,ತೆಗೆ,ಹಾಕುಮಾರಿಗೆ ನಕ್ಷತ್ರ ತೆಗೆದು ಕೊಟ್ಟರು.,1,2,0.5
mbert,ತೆಗೆ,ಹೋಗಿ ಮೇಲಿನ ತಗರು ತೆಗೆದುಕೊ.,2,4,0.25
mbert,ತೆಗೆ,ಕಂಕುದಿಂದ ಮುಖ್ಯ ಕೆಲಸ ತೆಗೆದುಕೊ.,2,2,0.5
mbert,ತೆಗೆ,ನೆಲದಿಂದ ಪಿಸು ತೆಗೆದುಕೊ.,3,2,0.5
mbert,ತೆಗೆ,ಹೊರಗಿನ ಸೂಪ ತೆಗೆದುಕೊಂಡೆ.,3,3,0.3333333333333333
mbert,ತೆಗೆ,ಗುರಿನೆ ಬಾರಣವನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ.,4,4,0.25
mbert,ತೆಗೆ,ಪ್ರಾಣಿ ಪರೀಕ್ಷೆಯಲ್ಲಿ ತೆಗೆದುಕೊಂಡರು.,4,4,0.25
mbert,ಕೊಡು,ಆನೆಗೆ ಒಣಹೂವು ಕೊಡಿ.,1,1,1.0
mbert,ಕೊಡು,ನನಗೆ ನೀರು ಕೊಡಿ.,1,2,0.5
mbert,ಕೊಡು,ದೇವರಿಗೆ ಹೂವು ಕೊಡುವುದು ಸಂಪ್ರದಾಯ.,2,4,0.25
mbert,ಕೊಡು,ಅತಿಥಿಗೆ ಆಸನ ಕೊಡಿ.,2,3,0.3333333333333333
mbert,ಕೊಡು,ಶತ್ರುವಿಗೆ ಭೀಷಣ ಪ್ರಹಾರ ಕೊಡುತ್ತೆ.,3,3,0.3333333333333333
mbert,ಕೊಡು,ತೊಡೆಯಿಂದ ಥಳಿ ಕೊಟ್ಟನಳೆ.,3,2,0.5
mbert,ಕೊಡು,ಗಿರುಗಳ ಹಾಕುಮಾರಿ ಬೆಳ್ಳಳಿ ಕೊಡುತ್ತವೆ.,4,1,1.0
mbert,ಕೊಡು,ಕ್ಷೇತ್ರ ಸಂಪೂರ್ಣ ಫಸಲಿ ಕೊಡುತ್ತಿದೆ.,4,1,1.0
mbert,ನೋಡು,ಆಕಾಶ ನೋಡಿ.,1,2,0.5
mbert,ನೋಡು,ಒಟ್ಟಿಗೆ ಏನು ನೋಡುತ್ತೀಯ?,1,3,0.3333333333333333
mbert,ನೋಡು,ಸಿನೆಮಾ ನೋಡುವುದು ಆನಂದ.,2,3,0.3333333333333333
mbert,ನೋಡು,ಕಡಿಮೆ ಮಾರುಕಟ್ಟೆ ನೋಡೊಳ್ಳಿ.,2,2,0.5
mbert,ನೋಡು,ನನ್ನ ಸ್ನೇಹಿತ ನೀಡೆ ನೋಡುತ್ತೆ.,3,1,1.0
mbert,ನೋಡು,ರಾತ್ರಿ ನಿಮ್ಮನ್ನು ನೋಡುತ್ತೇನೆ.,3,1,1.0
mbert,ನೋಡು,ಸರಿಪೊತ್ತು ನೋಡಿ.,4,3,0.3333333333333333
mbert,ನೋಡು,ಚಿಕಿತ್ಸಕ ರೋಗಿಯನ್ನು ನೋಡಿದರು.,4,4,0.25
mbert,ಸಾಕು,ಇಷ್ಟು ಸಾಕು.,1,1,1.0
mbert,ಸಾಕು,ಹಣ ಸಾಕುದೆ?,1,1,1.0
mbert,ಸಾಕು,ಹಸು ಸಾಕುವುದು ಅಸಾಧಾರಣ.,2,3,0.3333333333333333
mbert,ಸಾಕು,ಗುರುಗಳನ್ನು ಸಾಕಿದೆ.,2,2,0.5
mbert,ಸಾಕು,ಈ ನೋವು ಸಾಕಲಾರೆ.,3,2,0.5
mbert,ಸಾಕು,ಹೆಚ್ಚು ಅವಮಾನ ಸಾಕಬಾರದು.,3,2,0.5
mbert,ಧರಿಸು,ಹೊಸ ಬಟ್ಟೆ ಧರಿಸಿ.,1,1,1.0
mbert,ಧರಿಸು,ಮುಖವಾಣಿ ಧರಿಸಿ.,1,2,0.5
mbert,ಧರಿಸು,ಅಸ್ತ್ರ ಧರಿಸಿ ಯುದ್ಧಕ್ಕೆ ಬಂದರು.,2,3,0.3333333333333333
mbert,ಧರಿಸು,ಮಾದರಿ ಧರಿಸಿ ಹೋಗುತ್ತೆ.,2,1,1.0
mbert,ಧರಿಸು,ಭೂಮಿಯ ಸಾಕಷ್ಟು ಸೋಂಕುಗಳನ್ನು ಧರಿಸಿದೆ.,3,1,1.0
mbert,ಧರಿಸು,ಕುಟುಂಬದ ನೈತಿಕ ಧರಿಸುವುದು ಅವಶ್ಯಕ.,3,1,1.0
mbert,ಬರು,ನಾಳೆ ನನ್ನ ಮನೆಗೆ ಬಾರು.,1,3,0.3333333333333333
mbert,ಬರು,ಕಡಿಮೆ ಕರೆ ಸುಗಿಕೊ ಬರುತ್ತೆ.,1,2,0.5
mbert,ಬರು,ರೈಲು ಸಮಯಕ್ಕೆ ಬರುತ್ತಿದೆ.,2,2,0.5
mbert,ಬರು,ಮೇಲಿನ ಸಿಡಿ ಹಠಾತ್ತು ಬರುತ್ತೆ.,2,3,0.3333333333333333
mbert,ಬರು,ಇದೇ ಆಕಸ್ಮಾತ್ ಘಟನೆ ಕಾಲೇ ಕಾಲೇ ಬರುತ್ತದೆ.,3,2,0.5
mbert,ಬರು,ಶೀತ ಋತುವು ಬರುತ್ತಿದೆ.,3,1,1.0
mbert,ಬರು,ಅವನು ಅರಸನಾಗಿ ಬರುತ್ತೀಯ.,4,3,0.3333333333333333
mbert,ಬರು,ನೀ ಶಕ್ತಿಶಾಳಿಯಾಗಿ ಬರಿ.,4,3,0.3333333333333333
mbert,ಹೋಗು,ಪರೀಕ್ಷೆಗೆ ಹೋಗಿ.,1,2,0.5
mbert,ಹೋಗು,ನನ್ನ ಕಾರು ಹೋಗುತ್ತಿದೆ.,1,4,0.25
mbert,ಹೋಗು,"ಮುಂದೆ ಹೋಗಿ, ಜಾರುವುದು ಹೋಗುತ್ತೆ.",2,2,0.5
mbert,ಹೋಗು,ಕೋಣೆಯಿಂದ ಹೋಗಿ.,2,4,0.25
mbert,ಹೋಗು,ಅಲೋಕು ಹೋಗಿ.,3,3,0.3333333333333333
mbert,ಹೋಗು,ಸೂರ್ಯ ದಿಗಂತದ ಹೆಚ್ಚಿನ ಹೋಗಿ.,3,3,0.3333333333333333
mbert,ಹೋಗು,ದಿನ ಸರಿಸರಿ ಹೋಗುತ್ತಿದೆ.,4,2,0.5
mbert,ಹೋಗು,ವರ್ಷ ಬೇಗ ಹೋದೆ.,4,1,1.0
mbert,ಮಾಡು,ಚಿತ್ರ ಸೃಷ್ಟಿ ಮಾಡಿ.,1,5,0.2
mbert,ಮಾಡು,ಕಟಣೆ ಮಾಡುತ್ತೇನೆ.,1,4,0.25
mbert,ಮಾಡು,ಕೆಲಸ ಮಾಡಿ.,2,2,0.5
mbert,ಮಾಡು,ಸಹಾಯ ಮಾಡಿ.,2,4,0.25
mbert,ಮಾಡು,ಆಹಾರ ಮಾಡುತ್ತೇನೆ.,3,3,0.3333333333333333
mbert,ಮಾಡು,ಬಾರ ಮಾಡುವುದು ಪುರಸ್ಕಾರ.,3,2,0.5
mbert,ಮಾಡು,ಸಮಸ್ಯೆ ಮಾಡಿದೆ.,4,3,0.3333333333333333
mbert,ಮಾಡು,ಕೆಸರು ಮಾಡುವುದು ಸುಗಮ.,4,1,1.0
mbert,ಹೊಡೆ,ಮೇಜಿನ ಮೇಲೆ ಹೊಡೆಯಿರಿ.,1,2,0.5
mbert,ಹೊಡೆ,ದುರ್ಬಲ ಲೋಕದ ಬೇಡಿ ಹೊಡೆಯುವುದು.,1,2,0.5
mbert,ಹೊಡೆ,ಸರೀ ಪದಾರ್ಥವು ತೋಟದಲ್ಲಿ ಹೊಡೆದನು.,2,2,0.5
mbert,ಹೊಡೆ,ಗಂಡುಸಾಪು ಹೊಡೆಯಿರಿ.,2,2,0.5
mbert,ಹೊಡೆ,ಬೆಲ್ ಹೊಡೆಯಿರಿ.,3,2,0.5
mbert,ಹೊಡೆ,ಮಾಂತ್ರಿಕ ಘಂಟೆ ಹೊಡೆಯುತ್ತಾರೆ.,3,1,1.0
mbert,ಕೂಲಿ,ಪರೋಪಕಾರಿ ಉದ್ದೇಶದಿಂದ ಕೂಲಿ ಮಾಡುತ್ತೆ.,1,1,1.0
mbert,ಕೂಲಿ,ನೋವಿನಿಂದ ಕೂಲಿ ಮಾಡಿದಾಳು.,1,1,1.0
mbert,ಕೂಲಿ,ಮಗುವನ್ನು ಕೂಲಿ ಮಾಡಿ.,2,3,0.3333333333333333
mbert,ಕೂಲಿ,ನನ್ನನ್ನು ಕೂಲಿ ಮಾಡಿದಾಳು.,2,2,0.5
mbert,ಕೂಲಿ,ಪಾರ್ಟಿಗೆ ಮಹತ್ತರ ಕೂಲಿ ಮಾಡಿದೆ.,3,1,1.0
mbert,ಕೂಲಿ,ನಿನ್ನ ಸ್ನೇಹಿತರನ್ನು ಕೂಲಿ ಮಾಡೋ.,3,1,1.0
mbert,ಕಾಲೆ,ಅನ್ನ ಕಾಲೆ ಮಾಡಬೇಡ.,1,2,0.5
mbert,ಕಾಲೆ,ಅವಕಾಶ ಕಾಲೆ ಮಾಡಿದೆ.,1,2,0.5
mbert,ಕಾಲೆ,ಹಣ ಕಾಲೆ ಮಾಡುವುದು ನೀತಿಹೀನ.,2,1,1.0
mbert,ಕಾಲೆ,ಪ್ರತಿಭೆ ಕಾಲೆ ಮಾಡಬೇಡ.,2,1,1.0
mbert,ಕಾಲೆ,ಅಧ್ಯಯನ ಕಾಲೆ ಮಾಡಿದೆ.,3,2,0.5
mbert,ಕಾಲೆ,ಪರಿವಾರ ಕಾಲೆ ಮಾಡುವುದು ಅನುಚಿತ.,3,3,0.3333333333333333
mbert,ವಹಿಸು,ಸೋವೆಯನ್ನು ವಹಿಸುವುದು ಭಾರೀ.,1,1,1.0
mbert,ವಹಿಸು,ಹೊರೆ ವಹಿಸಿ ಹೋಗಿ.,1,1,1.0
mbert,ವಹಿಸು,ರಾಷ್ಟ್ರದ ಜವಾಬ್ದಾರಿ ವಹಿಸುವುದು ಕಷ್ಟ.,2,3,0.3333333333333333
mbert,ವಹಿಸು,ಪದ ವಹಿಸಿಕೊಂಡಿರುವ ಅಧಿಕಾರಿ.,2,3,0.3333333333333333
mbert,ವಹಿಸು,ಸಂಕಟ ವಹಿಸುವುದು ಧೈರ್ಯದ ಲಕ್ಷಣ.,3,1,1.0
mbert,ವಹಿಸು,ಹೊತ್ತುಕೊಂಡ ಮನೋವೇದನೆ ವಹಿಸಿ.,3,3,0.3333333333333333
mbert,ಲೇ,ನೀರು ಲೇಯಿ.,1,2,0.5
mbert,ಲೇ,ಆ ಸೂಪಿಗೆ ಈ ದ್ರವ್ಯ ಲೇಯಿ.,1,2,0.5
mbert,ಲೇ,ಟೇಬಿಲ್ ಮೇಲೆ ನೀರು ಲೇದೆ.,2,1,1.0
mbert,ಲೇ,ಹೊಡೆದಿದ್ದರಿಂದ ಹೆಣ್ಣಿನ ಲೋಹಿತ ಲೇದೆ.,2,1,1.0
mbert,ಲೇ,ಬೀಜ ಲೇಯಿ.,3,3,0.3333333333333333
mbert,ಲೇ,ಪ್ರಕಾಶ ಲೇದೆ.,3,3,0.3333333333333333
mbert,ಬೆಳೆ,ಮಗು ಬೆಳೆಯುತ್ತಿದೆ.,1,1,1.0
mbert,ಬೆಳೆ,ಆತನ ಉತ್ತರ ದಾಯಿತ್ವ ಬೆಳೆಯುತ್ತಿದೆ.,1,2,0.5
mbert,ಬೆಳೆ,ಅನ್ನ ಬೆಳೆಯುವುದು ರೈತಿಕೆಯ ಪ್ರಧಾನ ಕೆಲಸ.,2,1,1.0
mbert,ಬೆಳೆ,ತರಕಾರಿ ಬೆಳೆಯಿರಿ.,2,2,0.5
mbert,ಬೆಳೆ,ಮಗುವಿನ ಮನ ಬೆಳೆಯುವುದು ಮುಖ್ಯ.,3,3,0.3333333333333333
mbert,ಬೆಳೆ,ಶಕ್ತಿ ಬೆಳೆಸಿ.,3,2,0.5
mbert,ನಕಲಿ,ಆ ನಕಲಿ ಚಿತ್ರ ಅಸಾಧಾರಣ ಸಿದ್ಧಿ.,1,1,1.0
mbert,ನಕಲಿ,ನಕಲಿ ಪಾಸ್‌ಪೋರ್ಟ್ ಜರಿಮಾನೆಗೆ ಸಾಧ್ಯ.,1,2,0.5
mbert,ನಕಲಿ,ನಕಲಿ ಸಾಕ್ಷ್ಯ ನ್ಯಾಯಾಲಯದ ವಿರುದ್ಧ ರಿವಾಜು.,2,3,0.3333333333333333
mbert,ನಕಲಿ,ನಕಲಿ ವಾದ್ಯತೆ ನಿಖಿಲ ಎಲೆ ಪ್ರತಿ.,2,3,0.3333333333333333
mbert,ಮುಕ್ತ,ಕೈದಿ ಮುಕ್ತನಾದನು.,1,2,0.5
mbert,ಮುಕ್ತ,ಮುಕ್ತ ಮನೋಭಾವ ಅಗತ್ಯ.,1,3,0.3333333333333333
mbert,ಮುಕ್ತ,ಬಂಧನೆಯಿಂದ ಮುಕ್ತನಾದನು.,2,2,0.5
mbert,ಮುಕ್ತ,ಇಲಿಯನ್ನು ಮುಕ್ತ ಮಾಡಿ.,2,3,0.3333333333333333
mbert,ಗಟ್ಟ,ಗಟ್ಟ ಕಲ್ಲು ಚಾಪುತ್ತಾರೆ.,1,1,1.0
mbert,ಗಟ್ಟ,ಮಜ್ಜಿಗೆ ಗಟ್ಟ ಕಕ್ಷ.,1,1,1.0
mbert,ಗಟ್ಟ,ಗುರುವು ಗಟ್ಟ ಆಜ್ಞೆಕಾರಿ.,2,2,0.5
mbert,ಗಟ್ಟ,ಗಟ್ಟ ನಿಯಮ ಪಾಲಿಸುತ್ತಾರೆ.,2,1,1.0
mbert,ಗಟ್ಟ,ಗಟ್ಟ ಸಮಸ್ಯೆ ಎದುರಾಗಿದೆ.,3,3,0.3333333333333333
mbert,ಗಟ್ಟ,ಗಟ್ಟ ಅನುಸಾರ ನೋವು.,3,3,0.3333333333333333
mbert,ಕಬ್ಬಿ,ಕಬ್ಬಿ ಬಟ್ಟೆ ಹೊಗಳುವುದಲ್ಲ.,1,1,1.0
mbert,ಕಬ್ಬಿ,ಕಬ್ಬಿ ಚರ್ಮ ಶೇಕಡೆ.,1,1,1.0
mbert,ಕಬ್ಬಿ,ಕಬ್ಬಿ ಮಾತು ಆಘಾತ ಬಿಡುತ್ತದೆ.,2,2,0.5
mbert,ಕಬ್ಬಿ,ಕಬ್ಬಿ ವ್ಯವಹಾರ ನಿಜನಾಗಿ ನೋವಾಗಿಸುತ್ತದೆ.,2,3,0.3333333333333333
mbert,ನೀಲ,ನೀಲ ಆಕಾಶ ಮೋಹಕ.,1,2,0.5
mbert,ನೀಲ,ನೀಲ ವಸ್ತ್ರ ಸುಂದರವಾಗಿದೆ.,1,1,1.0
mbert,ನೀಲ,ನೀಲ ಸಂಜೆ ಬರುತ್ತಿದೆ.,2,2,0.5
mbert,ನೀಲ,ನೀಲ ಮೋಹೆ ಅಂಧಕಾರ.,2,1,1.0
mbert,ಸಾಧಾರಣ,ಸಾಧಾರಣ ಕುಟುಂಬ ಬದುಕುತ್ತೆ.,1,1,1.0
mbert,ಸಾಧಾರಣ,ಸಾಧಾರಣ ಮನುಷ್ಯ ಅಸಾಧಾರಣ ಕಾರ್ಯ ಮಾಡಿದನು.,1,1,1.0
mbert,ಸಾಧಾರಣ,ಸಾಧಾರಣ ಚಿಂತನೆ ಸಕಲ ಜನಕ್ಕು ಅನ್ವಯ.,2,2,0.5
mbert,ಸಾಧಾರಣ,ಸಾಧಾರಣ ಸತ್ಯ ಪರಿವರ್ತಿತವಾಗಿದೆ.,2,2,0.5
mbert,ಲೋಭಿ,ಲೋಭಿ ಮನುಷ್ಯ ಸದಾ ತೃಪ್ತ ರಹಿತ.,1,3,0.3333333333333333
mbert,ಲೋಭಿ,ಲೋಭಿ ಭಾವನೆ ನಾಶ ಮಾಡುತ್ತದೆ.,1,2,0.5
mbert,ಲೋಭಿ,ಶಿಕ್ಷೆಯ ಲೋಭಿ ವಿದ್ಯಾರ್ಥಿ.,2,3,0.3333333333333333
